mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-7.0;-;4.3;20;20;74;11;40;65;6862;0.0
1;2;0.0;-9.1;-;0.7;11;2;69;11;36;85;6753;0.2
1;3;0.0;-3.4;-;2.2;18;2;33;22;58;44;3741;14.3
1;4;0.0;-1.8;-;2.0;25;22;46;24;48;60;6824;0.0
1;5;0.0;-4.1;-;7.7;19;7;56;12;36;64;7260;0.0
1;6;0.0;-5.1;-;12.7;9;3;53;5;19;55;6988;0.0
1;7;0.0;-3.1;-;6.9;22;8;66;3;13;2;2565;18.5
1;8;0.0;-3.0;-;12.8;44;23;91;3;16;35;6479;3.2
1;9;0.0;-1.7;-;13.8;45;23;99;6;19;101;7011;19.1
1;10;0.0;-2.4;-;7.0;86;0;99;4;12;26;3049;16.2
1;11;0.0;3.4;-;6.1;88;19;99;2;7;61;717;18.1
1;12;0.0;3.3;-;6.5;98;0;99;1;8;133;396;22.6
1;13;0.0;5.2;-;9.0;97;0;99;2;11;300;1129;23.1
1;14;2.2;5.6;-;8.5;99;0;99;3;9;103;508;21.4
1;15;0.0;2.9;-;16.2;53;2;99;7;24;73;6771;15.3
1;16;0.2;4.9;-;7.6;99;0;99;4;10;29;1299;14.3
1;17;0.2;4.0;-;7.0;99;0;99;4;10;333;1235;15.3
1;18;0.2;3.2;-;6.5;91;0;99;4;12;107;999;0.0
1;19;0.2;0.4;-;14.2;66;5;99;4;14;135;7367;15.3
1;20;0.2;-1.4;-;7.8;93;0;99;3;10;221;6740;15.1
1;21;0.4;0.0;-;3.2;99;0;99;3;9;165;3100;14.5
1;22;0.4;-0.4;-;6.0;99;0;99;4;14;17;1277;18.3
1;23;0.8;2.3;-;5.0;99;0;99;3;13;177;1418;17.6
1;24;1.2;3.6;-;4.9;99;0;99;3;12;189;892;14.4
1;25;0.4;0.1;-;6.9;47;0;99;3;19;64;2242;15.5
1;26;0.0;-2.2;-;10.2;9;3;99;8;41;15;8934;0.0
1;27;0.0;-1.9;-;8.0;55;19;99;7;18;53;8000;15.6
1;28;0.0;1.6;-;7.6;59;7;88;5;15;60;3588;16.0
1;29;0.0;2.5;-;9.3;78;19;99;3;9;70;5218;16.1
1;30;0.0;-0.6;-;5.9;42;0;99;21;50;67;9133;0.0
1;31;0.0;-4.6;-;7.9;9;23;65;13;36;67;10721;0.0
2;1;0.0;-6.2;-;10.7;13;5;71;4;18;56;10282;0.0
2;2;0.0;-4.3;-;13.4;9;2;65;5;17;53;9050;15.5
2;3;0.0;-3.3;-;16.3;9;2;66;6;22;66;10680;16.5
2;4;0.0;-2.1;-;14.6;12;22;82;4;13;161;10925;15.5
2;5;0.0;-2.7;-;12.3;24;20;99;4;10;170;10331;15.6
2;6;0.0;-3.6;-;9.7;43;1;99;3;11;173;8931;17.1
2;7;0.0;-1.8;-;15.2;26;0;99;8;28;83;9749;15.6
2;8;0.0;-0.4;-;12.6;36;22;93;5;20;65;10700;16.1
2;9;0.0;-2.7;-;12.0;39;5;99;4;18;75;10474;15.6
2;10;0.0;0.8;-;13.5;11;0;72;11;29;58;11401;16.1
2;11;0.0;-2.6;-;14.4;11;5;73;13;32;56;11625;15.4
2;12;0.0;2.2;-;13.4;24;0;57;16;38;70;11570;16.0
2;13;0.0;-3.1;-;13.4;19;5;89;4;16;76;12258;16.2
2;14;0.0;-3.4;-;14.9;16;2;85;9;32;71;11977;16.1
2;15;0.0;-2.0;-;8.3;33;6;74;6;24;77;11151;16.5
2;16;0.0;-1.6;-;6.6;26;1;73;6;21;70;10607;15.1
2;17;0.0;-4.8;-;2.8;40;23;76;5;13;39;5335;0.0
2;18;0.0;-6.0;-;10.6;27;5;84;4;15;229;12652;17.0
2;19;0.0;-1.2;-;3.4;65;22;97;6;19;83;1193;16.2
2;20;0.0;-2.3;-;11.6;10;0;82;9;25;149;13314;16.1
2;21;0.0;-0.6;-;9.8;9;6;62;13;51;328;7321;16.4
2;22;0.0;-5.5;-;7.6;9;3;47;15;43;349;14499;15.4
2;23;0.0;-9.3;-;5.8;9;6;31;9;36;341;14501;16.3
2;24;0.0;-5.7;-;4.4;9;6;38;4;19;286;7108;16.1
2;25;0.0;-5.5;-;9.0;9;23;56;4;23;201;13215;16.2
2;26;0.0;-7.0;-;6.9;34;23;84;6;21;239;9811;16.3
2;27;1.2;-0.7;-;7.4;68;21;97;7;21;136;6964;16.2
2;28;5.0;0.6;-;11.3;34;5;99;12;30;120;10023;15.2
3;1;1.2;5.2;-;8.1;17;14;81;24;59;93;1684;0.0
3;2;0.0;4.0;-;7.2;40;16;62;19;37;59;3292;15.1
3;3;0.0;1.9;-;10.9;38;21;68;12;34;70;13847;15.5
3;4;0.6;-3.0;-;8.3;40;16;99;8;33;90;11240;15.2
3;5;2.2;-5.5;-;5.5;38;0;99;3;15;260;12741;16.1
3;6;0.0;-4.8;-;6.8;40;21;89;4;16;280;14952;16.1
3;7;0.0;-3.3;-;11.5;26;1;91;6;24;183;13765;16.6
3;8;0.0;-3.7;-;11.1;11;2;95;5;18;249;17164;15.6
3;9;0.0;-1.4;-;12.6;25;22;84;6;17;219;16331;15.5
3;10;0.0;-3.1;-;13.3;28;20;90;5;20;170;15604;15.6
3;11;0.2;-2.1;-;12.5;41;5;97;5;15;164;13246;16.4
3;12;0.0;-1.3;-;13.6;38;19;99;6;24;174;15408;16.2
3;13;0.0;-0.2;-;12.3;54;6;99;4;17;195;13188;16.4
3;14;0.2;0.4;-;13.3;52;0;99;4;19;175;9383;15.5
3;15;0.0;-1.5;-;14.3;43;2;99;4;26;164;14730;16.2
3;16;0.2;0.0;-;15.8;46;4;99;4;17;209;14586;16.3
3;17;0.0;0.8;-;15.2;48;0;99;4;15;164;11569;16.1
3;18;0.0;2.9;-;22.6;24;4;99;5;18;222;16364;17.0
3;19;0.0;4.9;-;23.6;20;2;91;4;16;130;13410;16.4
3;20;0.0;5.1;-;23.0;24;23;83;6;24;166;17754;15.5
