mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;10.0;-2.6;1.2;5.6;81;97;99;5;14;31;2702;1010.8
1;2;0.3;-3.5;0.8;4.7;65;81;99;12;47;63;6167;1007.9
1;3;0.0;-4.1;0.5;2.9;43;57;74;17;49;101;7156;1009.0
1;4;0.0;-7.6;-2.0;6.4;31;69;94;3;11;82;7477;1004.4
1;5;0.0;-5.8;0.3;7.4;12;58;92;6;33;80;6302;1001.2
1;6;0.0;0.1;1.3;3.0;30;43;55;21;46;72;4074;1003.9
1;7;0.1;-1.0;1.9;5.2;53;64;86;6;21;78;1721;1003.8
1;8;0.4;-0.9;1.5;4.1;43;52;75;24;54;67;5917;1011.7
1;9;0.0;-5.0;0.3;5.6;15;42;79;12;43;59;7062;1015.9
1;10;0.0;-5.9;1.9;8.9;15;43;81;12;42;106;7133;1014.2
1;11;0.0;-2.9;5.5;11.6;9;24;53;14;40;68;7292;1017.9
1;12;0.0;-4.2;3.2;10.7;13;37;68;8;30;70;7338;1017.1
1;13;0.0;-4.4;3.4;12.2;27;59;87;6;27;62;5760;1008.5
1;14;16.1;3.2;4.5;7.6;50;88;98;12;30;64;808;998.3
1;15;0.0;-0.6;4.9;7.7;65;76;98;8;28;69;2126;1006.6
1;16;0.0;-1.4;3.9;9.2;54;76;98;9;24;52;7496;1011.5
1;17;0.0;-2.4;3.1;7.6;55;79;98;4;10;60;4297;1012.1
1;18;1.6;0.4;3.9;5.3;81;94;99;3;10;20;980;1005.1
1;19;7.3;3.5;5.3;7.0;90;98;99;4;14;355;2059;998.6
1;20;64.7;6.3;9.7;11.2;98;99;99;10;32;194;321;990.0
1;21;18.1;7.5;8.5;10.0;93;98;99;9;22;0;995;990.3
1;22;0.0;0.6;7.3;10.6;64;83;99;7;24;56;3634;993.2
1;23;3.7;-0.8;3.7;7.9;74;92;99;5;19;194;4886;982.2
1;24;0.0;-0.2;4.7;7.8;76;89;99;6;24;50;4674;978.2
1;25;0.0;1.5;6.8;10.5;42;65;93;8;27;101;4758;985.4
1;26;1.0;0.9;5.9;10.6;49;70;87;7;28;62;6496;990.4
1;27;6.9;3.6;6.1;8.1;77;91;99;7;25;80;1691;991.1
1;28;0.0;3.7;6.3;11.9;49;86;99;3;15;270;6131;995.9
1;29;0.0;0.9;6.2;10.8;66;83;99;4;13;149;7254;1000.9
1;30;0.0;2.1;5.8;11.0;55;73;99;9;30;91;7545;1005.4
1;31;0.0;2.4;3.8;5.8;49;58;69;13;34;98;3990;1002.6
2;1;2.6;0.9;2.0;3.0;49;74;96;15;33;72;2032;998.5
2;2;34.3;2.2;4.2;5.5;77;89;97;18;38;83;661;997.1
2;3;26.6;4.7;7.2;9.6;75;87;99;12;37;73;3728;990.5
2;4;0.0;4.6;7.7;10.5;76;93;99;5;14;167;3629;988.8
2;5;2.4;7.5;9.4;13.0;74;94;99;5;14;101;5270;994.0
2;6;29.8;8.3;10.4;13.5;87;97;99;7;31;191;2613;988.7
2;7;36.6;7.0;8.7;10.4;97;99;99;7;38;200;1645;980.0
2;8;23.9;4.0;6.7;8.3;92;98;99;5;22;34;2021;982.7
2;9;0.0;1.7;5.8;11.6;41;83;99;5;18;238;9215;997.2
2;10;4.7;2.3;5.4;8.2;89;96;98;5;22;351;1880;992.7
2;11;0.0;3.4;7.2;11.9;14;55;98;10;34;344;8398;991.4
2;12;0.0;-0.9;4.9;9.7;16;35;72;9;41;5;10851;996.8
2;13;0.0;-3.0;2.9;8.3;9;33;76;7;25;195;12004;999.8
2;14;0.0;-4.5;2.4;8.9;14;42;75;5;19;285;11768;1002.2
2;15;0.0;-4.4;2.1;9.1;9;40;72;6;24;0;11980;1009.7
2;16;0.0;-2.0;1.8;7.3;31;53;78;6;22;174;9646;1009.3
2;17;0.0;-2.3;2.5;7.6;52;72;90;7;38;56;8654;1000.6
2;18;0.0;-3.7;1.9;7.1;8;24;70;10;47;18;12058;1005.0
2;19;0.0;-6.3;0.3;7.0;24;50;76;5;18;223;12523;1008.8
2;20;0.0;-4.9;0.8;7.6;29;63;84;4;15;234;11108;1013.0
2;21;0.0;-2.4;3.8;11.9;26;63;92;4;15;271;11070;1012.2
2;22;0.0;-1.6;3.7;10.3;43;71;95;5;21;89;9275;1008.4
2;23;0.0;-1.2;3.2;8.8;62;84;97;4;10;2;5937;1001.9
2;24;0.0;-2.8;4.2;11.5;42;73;98;5;26;145;9508;1005.4
2;25;0.0;-3.2;3.9;11.3;25;63;97;5;17;218;13532;1015.3
2;26;0.0;-0.8;3.9;9.9;52;71;90;5;18;138;9219;1009.8
2;27;0.0;-1.6;4.8;12.4;40;76;98;4;15;165;12437;1004.6
2;28;0.0;-2.0;5.3;13.3;47;78;98;4;17;239;11812;1007.2
3;1;0.2;-0.5;6.6;11.9;70;87;98;4;11;49;4808;1005.1
3;2;0.2;5.4;8.5;12.7;77;94;98;3;11;246;5456;1003.5
3;3;2.8;5.8;9.6;15.1;63;89;98;5;19;203;9201;1003.5
3;4;49.3;7.1;8.4;9.4;95;98;98;10;33;97;1775;990.2
3;5;40.5;7.4;8.7;10.1;85;93;98;14;36;82;1796;970.6
3;6;4.3;3.9;8.3;12.1;52;81;98;10;27;336;10556;978.8
3;7;0.0;2.4;10.0;17.4;19;52;88;10;35;31;15101;988.8
3;8;0.0;1.9;8.6;15.7;29;61;97;5;22;169;14132;997.2
3;9;1.8;0.5;5.8;10.7;55;80;97;8;52;22;7244;996.8
3;10;0.0;-0.4;6.2;12.9;41;72;97;7;24;185;12101;1004.0
3;11;0.0;2.4;9.0;15.9;8;45;83;10;45;344;16619;1002.3
3;12;0.0;-1.2;6.7;13.5;23;52;88;6;25;221;16419;1009.7
3;13;0.0;0.5;7.8;15.2;35;62;85;7;24;198;17037;1005.7
3;14;0.0;0.5;8.4;15.1;37;69;94;5;23;170;14170;1009.5
3;15;0.0;2.1;9.3;15.8;38;66;95;4;15;163;12352;1010.4
3;16;0.0;2.0;10.7;17.8;28;55;84;6;19;262;17812;1015.8
3;17;0.0;2.6;9.3;16.1;43;69;98;6;22;88;14654;1016.0
3;18;0.0;2.2;8.9;17.8;33;72;98;7;32;226;17466;1011.0
3;19;0.0;1.0;7.7;14.2;30;61;97;9;30;92;12294;1006.4
3;20;0.0;-1.2;5.6;10.4;10;35;86;14;48;38;13736;1009.4
3;21;0.0;-1.1;7.1;12.5;8;19;60;16;43;49;19560;1008.7
3;22;0.0;-3.6;5.8;13.9;19;44;72;6;21;263;18744;1007.0
3;23;0.0;0.0;7.2;14.8;26;50;71;6;22;185;16023;1000.6
3;24;0.0;0.5;7.7;14.8;8;53;93;12;51;14;8319;988.4
3;25;0.0;-0.3;6.8;13.4;31;65;95;10;32;183;14837;994.0
