mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-2.0;2.7;9.1;66;91;98;5;15;155;6202;1005.6
1;2;2.4;2.9;6.3;8.6;70;91;98;8;31;65;1656;1010.5
1;3;0.0;0.8;6.2;11.8;57;80;98;5;28;54;4659;1020.8
1;4;0.0;-0.5;3.6;10.3;66;93;98;3;11;338;3482;1015.9
1;5;0.0;-1.0;4.1;12.5;58;90;98;4;14;166;6024;1008.1
1;6;0.0;0.7;6.0;14.2;59;87;98;4;13;309;6052;1008.3
1;7;0.0;-0.1;5.9;14.2;51;81;98;8;30;95;6528;1009.7
1;8;0.0;4.1;5.5;7.1;74;86;98;3;13;98;867;1012.9
1;9;0.0;3.4;6.4;10.2;65;89;98;3;10;180;3305;1009.5
1;10;1.2;1.3;5.0;8.3;88;97;98;3;10;158;2520;1000.4
1;11;0.0;0.1;4.0;10.5;63;91;98;4;19;65;5089;997.1
1;12;0.0;-0.9;3.8;7.1;57;77;98;6;20;108;4563;1003.4
1;13;1.4;1.7;3.8;5.2;67;83;93;14;45;54;1458;999.6
1;14;11.0;0.3;1.8;3.1;83;93;98;14;42;54;1196;996.1
1;15;7.0;0.9;2.8;4.2;83;96;98;8;24;74;1615;994.5
1;16;3.2;1.2;3.7;5.9;73;84;98;15;46;68;578;985.5
1;17;4.0;0.1;3.6;7.2;47;76;98;8;35;336;4018;986.7
1;18;0.0;-2.3;2.8;8.1;45;76;98;5;20;172;3297;987.7
1;19;1.3;-3.2;2.2;6.6;61;88;98;5;17;339;4410;988.7
1;20;20.8;2.5;5.9;8.8;98;98;98;6;20;353;740;985.5
1;21;14.1;6.5;7.6;10.3;96;98;98;5;15;29;2141;982.7
1;22;30.3;2.6;5.9;7.7;80;92;98;10;28;86;1814;988.9
1;23;0.0;-0.5;4.4;10.2;60;88;98;6;20;353;6011;994.7
1;24;0.1;3.1;6.8;10.7;51;73;93;7;36;21;3366;988.9
1;25;0.0;-0.4;3.2;7.7;46;74;98;7;22;154;7886;995.3
1;26;0.0;-2.0;1.2;5.3;45;61;78;14;32;75;8251;999.0
1;27;0.0;-3.8;1.0;7.7;42;74;97;3;15;44;7337;1001.4
1;28;0.0;-0.2;3.0;5.6;66;82;98;4;11;335;1922;1003.6
1;29;0.0;-2.4;2.7;7.3;75;96;98;6;21;140;6384;1009.6
1;30;0.0;2.0;4.8;6.8;85;94;98;3;10;77;1877;1007.6
