mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-5.6;1.2;11.2;10;53;74;4;13;148;6453;1010.6
1;2;0.0;-2.9;2.3;8.2;67;80;95;5;16;120;5037;1006.0
1;3;0.0;-4.6;3.0;10.2;29;60;83;8;35;79;6416;1007.6
1;4;0.0;-4.7;0.5;6.7;57;76;89;6;23;116;4320;998.7
1;5;0.0;-4.6;2.8;6.9;8;29;81;21;59;345;7182;1002.0
1;6;0.0;-8.8;-1.2;3.2;8;17;43;11;41;357;7165;1014.2
1;7;0.0;-10.7;-5.1;1.5;8;31;61;4;14;74;6933;1015.8
1;8;0.0;-9.6;-3.9;3.8;29;50;67;4;13;123;6110;1011.0
1;9;0.0;-9.2;-2.5;4.0;44;60;78;5;22;99;5161;1008.1
1;10;0.0;-5.6;-1.8;3.1;41;53;69;12;37;74;5753;1002.8
1;11;0.0;-8.3;-3.9;2.3;36;49;70;8;35;72;6601;1005.2
1;12;3.9;-7.0;-0.8;1.5;53;67;98;5;14;343;764;1004.2
1;13;26.0;-0.5;2.0;5.0;93;98;98;7;37;349;1133;986.7
1;14;0.0;-2.3;-;7.2;65;89;98;4;11;41;7112;995.6
1;15;0.0;-2.1;2.0;7.2;34;58;93;9;29;70;8099;1003.6
1;16;0.0;-3.5;2.0;5.7;24;39;62;12;44;33;6064;1002.8
1;17;0.0;-2.5;3.4;7.9;20;35;67;12;33;21;5414;1006.4
1;18;0.0;-1.0;3.7;6.7;36;43;60;14;51;87;4147;1012.1
1;19;0.0;-0.1;3.7;8.1;32;42;53;14;37;69;7706;1017.3
1;20;0.0;-3.0;2.6;7.4;26;40;65;15;39;98;7947;1019.0
1;21;0.0;-5.4;-;10.9;30;57;81;5;20;99;8192;1017.3
1;22;0.0;-2.5;3.8;10.8;20;50;74;12;39;58;8471;1015.1
1;23;0.0;-3.7;1.8;8.5;42;61;81;6;22;31;4599;1009.1
1;24;0.0;-3.6;2.4;10.1;36;57;83;14;42;72;8383;1005.5
1;25;0.0;-1.1;1.5;6.4;39;50;58;17;39;64;8533;1010.2
1;26;0.0;-1.1;1.1;4.7;37;49;58;20;46;67;8626;1014.9
1;27;0.0;-5.9;0.1;7.8;32;55;78;4;21;53;8388;1016.1
1;28;0.0;-4.3;0.6;7.8;55;75;92;4;12;146;6860;1013.0
1;29;0.0;-4.6;-0.1;7.5;59;83;95;3;12;167;8381;1012.0
1;30;0.0;-5.2;0.9;7.7;56;81;96;3;12;168;8348;1010.2
1;31;15.0;1.8;3.6;4.5;83;93;98;3;10;334;580;1007.7
2;1;2.3;3.8;5.0;5.9;98;98;98;2;9;102;628;1007.7
2;2;7.2;4.7;6.6;7.9;98;98;98;3;10;163;1625;1008.1
2;3;16.8;7.4;8.3;9.5;98;98;98;5;20;126;890;1001.1
2;4;12.3;4.4;6.6;8.0;96;98;98;6;20;139;1594;995.5
2;5;28.1;4.6;6.1;8.2;84;96;98;8;26;42;1816;994.1
