mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;64.8;2.4;-;9.1;43;5;99;10;28;34;372;13.6
1;2;0.0;-0.3;-;7.9;37;20;82;4;11;7;5751;0.0
1;3;0.0;-0.9;-;8.7;52;16;85;5;12;50;7052;15.0
1;4;32.4;3.9;-;8.6;71;13;99;6;17;241;418;23.6
1;5;0.2;3.9;-;7.4;91;0;99;5;17;156;2439;14.2
1;6;5.8;5.3;-;8.8;92;3;99;5;18;19;731;15.4
1;7;0.4;7.3;-;12.2;86;8;99;5;12;40;1493;19.2
1;8;19.6;8.8;-;14.5;78;7;99;7;25;19;3721;19.3
1;9;15.6;8.7;-;13.7;69;3;99;9;20;348;4539;14.2
1;10;0.0;5.0;-;10.3;81;17;99;5;15;138;1928;0.0
1;11;22.2;7.5;-;9.1;88;0;99;8;17;7;807;16.4
1;12;0.2;4.7;-;14.0;55;23;93;8;18;82;7556;14.5
1;13;0.0;3.9;-;13.7;56;19;99;3;10;178;6953;16.2
1;14;2.6;5.1;-;8.0;85;0;99;5;16;10;942;17.3
1;15;3.0;1.4;-;11.5;51;0;97;7;22;129;8103;14.2
1;16;0.0;0.3;-;8.2;52;2;93;6;21;54;5289;0.0
1;17;0.0;-0.1;-;9.1;47;6;89;7;29;90;6493;15.4
1;18;0.0;-0.6;-;7.4;44;22;70;13;29;96;8055;13.4
1;19;0.0;-3.8;-;9.5;12;4;75;9;28;58;9219;0.0
1;20;0.0;-1.8;-;7.8;32;5;68;10;35;101;2367;22.2
1;21;0.0;-2.4;-;7.6;32;23;85;5;37;107;4708;16.4
1;22;0.0;-3.2;-;11.1;23;0;84;5;15;103;9391;0.0
1;23;0.0;-2.5;-;10.3;24;18;71;4;13;172;9468;16.1
1;24;0.0;-0.8;-;8.2;48;23;89;5;12;45;4935;16.1
1;25;0.0;1.4;-;7.9;67;2;96;4;11;342;2232;19.5
1;26;0.0;1.7;-;7.9;39;10;96;7;33;328;2394;16.2
1;27;0.0;-1.0;-;10.3;34;6;80;8;30;337;9333;16.1
1;28;0.0;0.1;-;9.4;24;18;88;8;43;329;5826;16.4
1;29;0.0;-2.5;-;9.3;13;22;51;16;62;347;10434;14.5
1;30;0.0;-3.5;-;9.1;25;18;79;5;11;46;8281;0.0
1;31;0.0;-2.6;-;9.0;37;0;84;4;12;130;9574;16.2
2;1;0.0;-2.2;-;10.1;53;0;88;4;13;13;7421;21.1
2;2;0.2;0.8;-;7.5;76;3;99;3;9;143;3041;16.0
2;3;0.4;4.2;-;6.2;89;9;99;4;10;49;873;18.6
2;4;3.8;5.3;-;12.4;74;21;99;4;13;68;3594;16.4
2;5;10.2;5.3;-;12.6;74;0;97;10;26;61;4027;17.1
2;6;3.2;5.8;-;11.7;71;11;93;12;30;59;1403;17.1
2;7;0.0;4.7;-;15.0;48;5;81;12;32;67;10575;15.4
2;8;1.2;6.6;-;11.1;56;23;97;8;24;59;2798;15.5
2;9;0.0;4.2;-;11.9;41;6;98;4;17;55;4059;16.1
2;10;0.0;0.8;-;10.6;43;-;87;6;13;51;10038;-
2;11;0.0;-1.3;-;12.1;23;21;88;5;21;1;11850;16.2
2;12;0.0;-0.8;-;8.0;40;0;85;6;21;111;6164;0.0
2;13;0.0;-1.2;-;4.2;31;4;82;18;55;63;4459;0.0
2;14;0.0;-3.3;-;2.2;31;18;45;26;52;72;11861;0.0
2;15;0.0;-3.1;-;3.3;27;19;40;21;43;70;10559;0.0
2;16;0.0;-4.5;-;2.3;22;0;40;25;47;56;13023;0.0
2;17;0.0;-5.8;-;2.2;26;23;68;9;29;48;12182;0.0
