mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-0.8;4.9;12.9;27;59;85;5;15;336;6391;1009.7
1;2;0.0;-0.4;4.3;10.3;53;78;96;5;13;133;5339;1007.4
1;3;0.0;-2.6;3.6;10.6;41;71;90;4;14;9;6136;1013.4
1;4;0.0;-1.6;2.3;8.4;69;84;97;5;12;45;3005;1015.1
1;5;0.2;-2.3;2.9;7.6;74;88;97;4;8;12;4393;1015.1
1;6;0.2;0.1;4.1;8.6;75;89;99;5;14;115;4382;1014.7
1;7;0.0;-2.0;4.4;8.8;72;90;99;4;12;343;5475;1020.6
1;8;0.0;4.2;5.6;7.2;78;88;97;3;9;132;1547;1016.8
1;9;0.0;3.1;6.0;7.4;84;96;99;3;9;14;1077;1016.3
1;10;0.2;0.5;5.2;9.8;72;93;99;3;12;194;6008;1017.5
1;11;0.0;0.2;5.7;8.5;71;84;98;6;17;336;1867;1015.9
1;12;0.2;-2.5;3.0;9.8;70;92;99;3;8;15;6740;1013.5
1;13;0.2;-1.6;2.5;8.2;71;92;99;3;14;291;5119;1010.9
1;14;0.0;-1.4;4.5;11.8;39;79;99;5;13;104;6992;1011.9
1;15;0.2;-3.0;1.6;7.8;52;79;95;4;11;25;7075;1014.9
1;16;0.2;-4.7;1.3;7.6;41;68;91;5;16;102;7474;1016.7
1;17;0.0;-5.3;1.7;10.3;21;64;89;5;11;8;7659;1011.8
1;18;9.2;-4.9;0.5;4.0;65;79;98;6;23;352;2855;999.1
1;19;6.0;0.1;4.4;8.6;52;75;99;7;17;0;2867;993.5
1;20;0.0;-2.7;2.6;9.1;39;72;93;5;14;199;7132;999.9
1;21;0.0;-0.5;4.3;10.8;57;77;91;6;22;156;6617;989.1
1;22;0.0;-2.7;4.8;12.9;9;50;84;8;35;347;8486;995.8
