mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;-;-;-;-;-;-;-;-;-;-;-;-
1;2;-;-;-;-;-;-;-;-;-;-;-;-
1;3;-;-;-;-;-;-;-;-;-;-;-;-
1;4;-;-;-;-;-;-;-;-;-;-;-;-
1;5;-;-;-;-;-;-;-;-;-;-;-;-
1;6;-;-;-;-;-;-;-;-;-;-;-;-
1;7;-;-;-;-;-;-;-;-;-;-;-;-
1;8;-;-;-;-;-;-;-;-;-;-;-;-
1;9;-;-;-;-;-;-;-;-;-;-;-;-
1;10;-;-;-;-;-;-;-;-;-;-;-;-
1;11;-;-;-;-;-;-;-;-;-;-;-;-
1;12;-;-;-;-;-;-;-;-;-;-;-;-
1;13;-;-;-;-;-;-;-;-;-;-;-;-
1;14;-;-;-;-;-;-;-;-;-;-;-;-
1;15;-;-;-;-;-;-;-;-;-;-;-;-
1;16;-;-;-;-;-;-;-;-;-;-;-;-
1;17;-;-;-;-;-;-;-;-;-;-;-;-
1;18;23.6;-4.1;-;9.3;13;-;99;4;15;10;-;-
1;19;0.0;-3.7;-;11.5;12;8;67;4;19;104;8322;13.2
1;20;0.0;-4.6;-;8.9;27;1;71;8;28;68;7412;12.2
1;21;0.0;-4.6;-;7.7;30;2;77;12;37;53;8001;11.6
1;22;0.0;-5.1;-;6.8;31;0;70;13;30;91;8274;14.5
1;23;0.0;-6.7;-;8.8;18;4;80;9;30;72;8796;11.4
1;24;-;-;-;-;-;-;-;-;-;-;-;-
1;25;-;-;-;-;-;-;-;-;-;-;-;-
1;26;-;-;-;-;-;-;-;-;-;-;-;-
1;27;-;-;-;-;-;-;-;-;-;-;-;-
1;28;-;-;-;-;-;-;-;-;-;-;-;-
1;29;0.0;-6.3;-;6.4;39;-;74;4;17;53;279;-
1;30;0.0;-3.6;-;7.3;31;1;66;8;25;81;8917;12.5
1;31;0.0;-3.6;-;4.2;20;1;71;10;26;81;9035;10.6
2;1;0.0;-5.5;-;1.6;12;1;35;17;37;66;9340;11.0
2;2;0.0;-10.1;-;3.9;9;5;54;7;23;68;9841;12.1
2;3;0.0;-9.2;-;4.9;11;7;52;5;19;71;10016;13.0
2;4;0.0;-7.9;-;6.2;15;5;62;5;22;102;9359;13.4
2;5;0.0;-7.4;-;0.5;30;7;47;13;34;75;1364;0.0
2;6;0.0;-8.0;-;-4.2;26;16;88;27;58;85;2353;0.0
2;7;0.0;-10.4;-;-1.3;41;23;90;4;25;0;7596;15.1
2;8;7.0;-3.0;-;1.4;79;4;99;12;40;72;2383;17.1
2;9;14.0;-0.9;-;6.8;67;4;99;5;18;1;5772;10.4
2;10;29.2;1.8;-;5.5;95;1;99;5;19;73;1359;16.3
2;11;0.2;0.9;-;3.6;72;6;99;6;36;49;2717;0.0
2;12;-;-;-;-;-;-;-;-;-;-;-;-
2;13;-;-;-;-;-;-;-;-;-;-;-;-
2;14;-;-;-;-;-;-;-;-;-;-;-;-
2;15;-;-;-;-;-;-;-;-;-;-;-;-
2;16;-;-;-;-;-;-;-;-;-;-;-;-
2;17;-;-;-;-;-;-;-;-;-;-;-;-
2;18;-;-;-;-;-;-;-;-;-;-;-;-
2;19;-;-;-;-;-;-;-;-;-;-;-;-
2;20;-;-;-;-;-;-;-;-;-;-;-;-
2;21;-;-;-;-;-;-;-;-;-;-;-;-
2;22;-;-;-;-;-;-;-;-;-;-;-;-
2;23;-;-;-;-;-;-;-;-;-;-;-;-
2;24;-;-;-;-;-;-;-;-;-;-;-;-
2;25;-;-;-;-;-;-;-;-;-;-;-;-
2;26;-;-;-;-;-;-;-;-;-;-;-;-
2;27;-;-;-;-;-;-;-;-;-;-;-;-
2;28;2.0;1.5;-;8.5;44;-;79;19;41;59;12038;-
3;1;0.0;5.1;-;9.6;58;23;84;12;28;83;4569;-
3;2;0.2;4.4;-;14.2;57;21;99;5;15;53;11149;-
3;3;0.2;3.9;-;15.0;55;3;99;5;26;69;11967;-
3;4;0.0;5.5;-;16.8;38;20;82;8;24;77;14031;-
3;5;0.0;3.1;-;9.8;74;23;97;4;14;174;5725;-
3;6;3.4;7.5;-;10.1;87;1;99;4;10;39;1904;-
3;7;8.6;9.1;-;12.2;89;0;99;5;15;353;2855;-
3;8;0.4;10.1;-;14.1;82;2;99;9;27;332;2804;-
3;9;10.2;9.4;-;13.5;72;17;98;8;21;341;2013;-
3;10;0.2;7.9;-;14.7;71;1;99;4;14;333;5394;-
3;11;0.0;8.0;-;15.5;60;1;91;5;23;89;7535;-
3;12;0.0;7.0;-;16.2;43;6;78;12;26;143;15491;-
3;13;0.0;3.8;-;17.3;32;22;80;6;16;64;16001;-
3;14;0.0;5.0;-;18.0;31;23;84;6;18;172;15455;-
3;15;0.0;2.9;-;18.0;36;3;88;5;19;235;16196;-
3;16;0.0;4.2;-;20.7;25;4;81;5;19;157;16725;-
3;17;0.0;6.0;-;18.1;26;23;74;4;16;299;11207;-
3;18;0.0;4.4;-;18.0;33;6;84;5;28;41;9549;-
3;19;0.0;8.0;-;19.3;37;19;81;6;19;243;15703;-
3;20;0.0;8.3;-;18.1;35;6;88;5;23;172;1425;-
3;21;0.2;6.7;-;15.8;53;19;94;5;18;164;11824;-
3;22;2.0;7.7;-;13.5;72;1;99;6;23;178;2905;-
3;23;16.2;11.1;-;13.3;85;4;99;7;24;196;2004;-
3;24;0.0;10.0;-;19.2;50;0;99;5;14;275;12578;-
3;25;12.4;10.0;-;20.6;46;17;94;11;33;193;4123;-
3;26;1.8;8.3;-;13.4;76;7;99;8;22;145;6451;-
3;27;27.6;3.4;-;16.8;52;4;99;10;54;46;15452;-
3;28;0.4;1.2;-;12.0;38;0;91;15;38;97;19856;-
3;29;0.6;-0.2;-;9.2;33;22;90;5;35;20;5909;-
3;30;0.0;2.9;-;12.7;46;21;91;4;15;179;16686;-
3;31;0.0;1.7;-;14.7;41;3;92;6;19;257;20085;-
4;1;0.0;3.3;-;15.3;43;3;87;6;18;251;19792;-
4;2;0.0;3.5;-;18.4;36;5;89;5;17;280;19512;-
4;3;0.0;8.4;-;17.5;46;23;83;4;15;172;12724;-
4;4;3.8;8.0;-;14.8;51;21;94;5;14;212;6357;-
4;5;6.8;9.3;-;13.6;74;6;97;10;30;93;4752;-
4;6;1.4;8.6;-;19.0;50;4;94;6;19;169;14106;-
4;7;0.0;6.2;-;20.1;42;5;89;7;37;44;20091;-
4;8;0.6;8.7;-;18.6;41;3;89;8;25;150;19765;-
4;9;0.0;-;-;20.7;-;23;83;6;18;168;16296;-
4;10;0.6;7.4;-;20.7;39;2;95;8;32;113;21653;-
4;11;0.0;5.2;-;17.3;31;4;84;6;22;259;22359;-
4;12;0.0;6.6;-;18.6;34;0;81;10;31;72;15751;-
4;13;0.0;7.6;-;19.0;33;5;70;10;33;109;16199;-
4;14;0.2;7.0;-;19.3;34;23;83;7;26;68;15530;-
4;15;0.0;6.7;-;22.0;29;1;80;6;17;172;22423;-
4;16;0.0;6.5;-;20.7;36;4;85;8;26;171;21131;-
4;17;18.0;2.6;-;12.6;56;13;89;19;61;67;1713;-
4;18;4.0;2.7;-;8.3;45;3;86;12;37;15;5061;-
4;19;0.0;2.1;-;11.6;27;22;92;7;41;151;13453;-
4;20;0.0;0.4;-;12.9;35;2;93;7;34;179;20134;-
4;21;4.4;2.5;-;13.9;30;23;86;11;32;144;18779;-
4;22;0.6;4.3;-;12.6;40;3;88;8;33;266;17890;-
4;23;0.0;3.5;-;13.2;36;2;88;11;44;343;13612;-
4;24;0.0;4.6;-;15.8;20;23;76;6;20;11;17517;-
4;25;0.0;1.8;-;15.8;28;23;84;6;23;79;23814;-
4;26;0.0;2.1;-;16.5;28;4;89;6;25;186;19906;-
4;27;3.8;8.3;-;17.2;39;0;93;10;31;97;18623;-
4;28;0.0;6.6;-;16.9;54;4;99;6;29;177;17609;-
4;29;0.2;4.9;-;21.2;36;4;99;6;19;268;24433;-
4;30;3.2;11.0;-;20.4;38;18;92;10;28;180;16947;-
5;1;0.8;9.1;-;17.4;55;3;99;9;28;181;15650;-
5;2;44.2;10.1;-;12.7;92;22;98;9;28;133;3253;-
5;3;42.2;8.7;-;12.7;79;5;99;12;40;115;2009;-
5;4;43.0;7.2;-;9.9;85;22;99;17;36;56;3140;-
5;5;5.6;7.1;-;14.4;59;1;98;7;23;173;15588;-
5;6;15.6;6.5;-;13.7;59;0;98;7;26;214;12001;-
5;7;1.4;6.0;-;15.6;44;22;98;6;18;328;10830;-
5;8;0.2;6.5;-;18.6;46;0;98;9;33;182;22578;-
5;9;5.8;10.2;-;16.9;51;19;95;8;27;8;11039;-
5;10;30.0;9.8;-;12.4;79;23;98;10;24;1;2454;-
5;11;24.2;9.7;-;14.2;71;1;99;6;23;147;6558;-
5;12;2.6;9.7;-;16.9;64;5;99;6;20;188;19203;-
5;13;0.2;9.1;-;20.5;44;0;99;6;27;130;24145;-
5;14;0.0;10.5;-;22.3;32;23;82;6;19;48;27535;-
5;15;37.6;7.8;-;22.0;38;14;95;10;33;114;15352;-
5;16;0.2;7.7;-;14.4;43;23;85;10;33;145;16834;-
5;17;0.0;7.3;-;13.7;28;4;96;5;33;56;6564;-
5;18;0.0;7.7;-;14.8;55;23;94;4;13;230;9000;-
5;19;0.0;7.3;-;15.6;55;4;95;7;19;163;15616;-
5;20;0.0;9.6;-;19.9;42;5;95;6;24;243;27866;-
5;21;0.0;7.9;-;21.8;44;4;94;6;22;175;26886;-
5;22;0.0;9.7;-;25.3;37;4;98;5;23;189;26487;-
5;23;4.6;13.1;-;25.7;38;2;87;8;27;58;21787;-
5;24;0.2;6.7;-;20.2;16;23;83;13;40;51;22313;-
5;25;0.0;4.7;-;19.1;25;0;87;7;37;109;27765;-
5;26;0.0;10.2;-;19.8;34;21;80;8;25;177;23457;-
5;27;0.0;8.9;-;20.5;14;1;80;9;32;34;28353;-
5;28;0.0;7.4;-;22.9;22;23;83;6;20;176;29081;-
5;29;0.0;11.0;-;22.3;26;0;83;7;27;203;27880;-
5;30;0.0;14.4;-;23.3;38;4;75;8;27;178;25688;-
5;31;0.0;12.3;-;24.6;32;3;87;6;26;193;21456;-
6;1;0.0;13.1;-;23.7;32;2;75;8;23;150;22338;-
6;2;0.0;12.0;-;23.6;41;3;82;6;21;176;18945;-
6;3;23.4;12.5;-;20.7;55;21;99;9;31;169;9101;-
6;4;21.8;12.1;-;16.3;71;19;97;13;35;304;4203;-
6;5;0.0;10.3;-;18.6;46;22;95;11;35;86;18638;-
6;6;18.6;9.9;-;16.0;70;19;99;5;17;5;5592;-
6;7;8.2;12.7;-;18.2;77;0;99;6;25;177;8921;-
6;8;0.0;13.3;-;24.1;46;22;97;5;17;168;15217;-
6;9;0.2;11.0;-;25.4;39;2;97;5;26;212;24407;-
6;10;0.0;13.6;-;25.2;42;3;96;6;24;175;20625;-
6;11;1.6;15.0;-;23.2;47;3;92;12;34;61;16924;-
6;12;-;-;-;-;-;-;-;-;-;-;-;-
6;13;-;-;-;-;-;-;-;-;-;-;-;-
6;14;-;-;-;-;-;-;-;-;-;-;-;-
6;15;-;-;-;-;-;-;-;-;-;-;-;-
6;16;-;-;-;-;-;-;-;-;-;-;-;-
6;17;-;-;-;-;-;-;-;-;-;-;-;-
6;18;0.0;14.2;-;21.9;49;-;93;9;29;167;19199;-
6;19;0.2;11.1;-;20.4;47;23;99;12;33;53;21644;-
6;20;0.0;10.1;-;22.4;45;0;99;5;32;158;24122;-
6;21;0.0;12.2;-;24.9;45;3;99;6;20;164;27776;-
6;22;0.0;12.9;-;28.4;33;3;98;5;19;269;29190;-
6;23;0.0;14.5;-;30.8;34;1;94;5;18;287;29056;-
6;24;0.0;17.7;-;31.5;36;22;90;5;19;285;27520;-
6;25;0.0;20.0;-;31.2;44;1;95;6;22;228;25075;-
6;26;0.0;19.6;-;31.2;43;3;97;7;23;2;24940;-
6;27;21.2;15.4;-;27.5;59;16;99;14;36;346;15790;-
6;28;0.4;11.9;-;24.6;34;1;91;13;38;72;29127;-
6;29;5.0;12.0;-;23.8;34;23;94;7;36;119;22619;-
6;30;0.0;10.0;-;24.1;37;2;99;5;19;186;29687;-
7;1;0.0;11.3;-;25.9;42;3;99;5;15;268;28203;-
7;2;0.0;13.5;-;28.2;40;2;98;5;20;274;28342;-
7;3;0.0;16.6;-;29.9;47;21;96;5;17;177;24757;-
7;4;0.0;18.2;-;30.9;46;2;96;5;31;133;22213;-
7;5;4.6;20.4;-;31.2;48;20;99;6;24;132;23944;-
7;6;0.0;20.8;-;31.3;48;0;99;6;19;142;26615;-
7;7;0.0;21.4;-;30.9;43;19;92;7;21;74;26750;-
7;8;0.0;18.8;-;31.1;44;4;99;6;18;328;24464;-
7;9;13.0;19.6;-;31.1;43;23;95;12;42;345;21266;-
7;10;5.8;19.3;-;29.6;50;-;98;8;29;305;16818;-
