mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-2.5;2.9;10.7;46;79;98;4;10;6;5980;1009.5
1;2;16.7;-1.0;4.0;6.6;73;91;99;6;16;339;1088;1008.0
1;3;31.0;5.1;7.6;9.4;75;89;99;10;44;351;1352;1011.1
1;4;0.0;1.3;5.1;8.2;87;94;99;4;15;248;1834;1006.7
1;5;0.3;0.1;3.3;5.5;80;93;99;5;30;355;1858;992.4
1;6;0.1;-0.7;7.7;12.4;10;38;96;15;53;4;6629;991.7
1;7;0.0;-1.8;3.9;10.3;16;58;88;5;19;310;4563;1004.3
1;8;0.0;-2.7;3.1;10.2;49;75;96;6;20;197;6837;1003.3
1;9;0.0;-3.1;3.7;12.0;35;67;86;5;19;326;6496;1010.5
1;10;0.0;-2.0;4.2;12.0;46;68;91;5;16;29;6838;1014.7
1;11;0.0;-2.0;3.6;11.5;44;73;96;4;11;-;6811;1019.3
1;12;0.0;-2.4;3.0;11.1;44;80;99;4;12;163;7042;1015.0
1;13;0.0;-1.6;3.5;10.3;51;82;99;6;18;315;3754;1005.9
1;14;0.0;-3.0;3.4;10.6;8;42;83;9;22;0;7594;1007.4
1;15;0.0;-5.1;0.6;9.1;8;44;71;5;18;223;7520;1007.4
1;16;0.0;-8.0;-0.5;6.9;15;51;79;5;25;100;7448;1010.9
1;17;0.0;-5.8;-0.9;6.0;36;66;89;4;15;177;6713;1014.2
1;18;0.0;-6.4;-0.8;7.9;48;80;99;3;10;236;6635;1018.5
1;19;0.0;-2.7;0.4;3.2;92;98;99;3;10;291;2102;1014.5
1;20;0.0;-1.8;2.0;6.5;78;94;99;6;22;130;4197;1001.9
1;21;0.0;0.2;4.3;11.2;31;66;99;6;19;30;7561;1002.5
1;22;0.0;-1.4;3.9;10.8;62;80;99;5;14;49;5169;998.2
1;23;0.0;-1.3;4.7;11.6;65;91;99;4;12;355;2751;1000.7
1;24;0.0;-2.2;6.0;12.3;14;61;99;9;43;323;7313;1001.4
1;25;0.0;-3.5;3.4;11.4;8;34;64;6;22;335;8635;1006.4
1;26;0.0;-5.7;0.9;7.8;26;50;76;6;24;207;8383;1008.1
1;27;0.0;-5.2;1.3;8.1;21;52;83;6;19;50;8330;1012.4
1;28;0.0;-4.0;2.6;7.3;22;45;72;11;39;59;6423;1012.6
1;29;0.0;1.1;2.5;5.5;31;41;52;23;50;71;7330;1010.7
1;30;0.0;-0.2;2.3;6.4;11;24;44;23;50;64;8083;1011.7
1;31;0.0;-1.6;-0.1;2.0;11;29;38;25;51;63;4227;1008.7
2;1;0.0;-1.1;1.0;2.9;20;29;38;33;70;48;3104;1004.0
2;2;0.0;-3.8;-1.1;0.7;23;27;33;26;54;75;4627;1006.0
2;3;0.0;-4.5;-3.0;-0.2;25;30;37;24;61;82;8455;1006.5
2;4;0.0;-4.8;-2.6;-0.1;22;40;49;15;42;69;2736;1007.5
2;5;0.0;-6.8;-4.7;-0.2;31;43;49;19;40;80;9054;1011.1
2;6;0.0;-7.0;-2.9;1.5;31;41;49;18;41;74;9179;1005.1
2;7;0.0;-2.6;0.5;3.5;38;45;54;10;45;58;2644;1002.1
2;8;0.0;-1.6;2.8;9.6;11;27;44;19;56;77;9213;1011.6
2;9;0.0;-3.4;0.4;5.9;20;28;36;17;44;83;9549;1009.5
2;10;0.0;-3.9;-1.6;0.8;28;34;41;23;48;93;7538;1009.8
2;11;0.0;-4.3;-1.8;0.1;27;37;48;20;51;98;4052;1006.6
2;12;0.0;-3.7;-1.2;2.7;33;46;84;15;40;35;5524;1007.5
2;13;0.0;-5.2;-0.5;4.2;40;56;73;5;15;299;8672;1005.3
2;14;0.0;-8.0;-1.2;6.8;31;61;86;5;21;217;10581;1001.9
2;15;0.0;-4.9;-0.2;5.1;47;66;83;8;28;93;8027;994.3
