mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;1.8;5.9;6.8;8.4;98;98;99;3;9;273;1313;979.4
1;2;31.4;0.8;4.1;7.3;56;93;99;9;37;348;362;991.9
1;3;0.0;-4.8;0.5;6.4;30;58;90;6;21;351;7040;1006.6
1;4;0.8;-5.1;-1.0;0.6;58;85;99;5;17;0;1326;1003.2
1;5;3.8;0.2;2.2;4.5;68;86;99;13;39;67;2325;991.9
1;6;0.1;2.1;3.4;5.4;77;87;98;7;31;44;1698;986.9
1;7;0.5;2.4;5.2;10.1;70;86;99;7;24;69;5740;995.9
1;8;20.2;3.9;4.9;6.2;76;86;97;18;47;98;592;990.4
1;9;11.9;4.3;5.8;7.5;74;87;99;14;44;79;1514;986.4
1;10;3.6;1.9;5.6;8.3;82;95;99;7;20;99;2612;994.2
1;11;0.6;0.7;3.6;6.1;89;96;99;5;16;198;2414;1000.4
1;12;0.0;1.9;4.2;6.1;68;82;99;8;18;87;2338;1001.9
1;13;0.0;-0.2;3.5;6.2;66;75;92;7;19;86;3166;997.7
1;14;0.0;-0.6;2.6;6.2;60;73;94;9;27;100;4342;999.0
1;15;0.1;1.5;3.7;7.7;51;64;76;13;39;112;7417;1006.9
1;16;0.0;0.9;3.1;6.9;40;56;72;15;38;86;7656;1012.4
1;17;0.0;-2.5;0.8;4.5;59;77;97;4;13;72;2541;1009.2
1;18;0.1;-4.1;1.4;9.7;53;85;99;4;12;351;7180;1010.8
1;19;0.2;-5.0;1.2;9.8;36;85;99;5;14;184;7065;1009.1
1;20;0.1;-4.7;1.0;8.0;51;88;99;3;14;253;8241;1004.1
1;21;0.2;-5.1;1.6;8.2;52;77;99;6;24;64;8459;1005.9
1;22;0.0;-0.4;1.7;5.2;50;62;70;9;23;104;5062;1010.8
1;23;0.0;-3.4;0.5;5.4;47;64;81;9;22;84;8000;1011.9
1;24;0.0;-2.9;-0.6;2.0;51;61;72;16;39;76;6281;1012.8
1;25;0.0;-1.2;-0.4;1.1;47;54;60;21;45;86;3123;1015.3
1;26;0.0;-2.2;0.0;2.0;45;52;61;18;46;74;2863;1013.7
1;27;0.0;-2.9;0.2;4.4;29;41;53;20;45;79;8751;1008.2
1;28;0.0;-5.6;-1.5;4.0;38;58;77;4;11;54;5487;991.9
1;29;0.6;-7.9;-0.6;5.4;36;70;99;5;18;8;6353;984.9
1;30;3.4;0.1;2.0;4.3;75;92;99;6;32;52;2630;978.4
1;31;0.2;-3.6;1.6;6.0;33;70;99;4;25;54;4874;988.1
2;1;0.0;-7.1;-0.5;6.2;25;62;84;4;21;172;9655;999.1
2;2;0.0;-6.6;-0.1;6.2;31;66;87;5;14;207;9713;1005.5
2;3;0.0;-2.9;0.7;6.5;43;70;86;5;18;170;7996;1005.2
2;4;0.0;-2.7;3.0;7.7;57;74;88;4;12;357;3274;1009.6
2;5;28.1;2.6;5.1;6.5;72;92;98;8;26;36;1084;1002.7
2;6;2.5;3.2;5.8;9.2;72;86;98;6;20;83;2689;993.4
2;7;0.0;-1.1;3.8;10.2;54;78;98;8;29;101;10130;997.6
2;8;0.0;-1.2;1.5;6.9;39;60;72;13;29;95;10639;995.9
2;9;0.0;-3.6;1.0;4.8;57;71;90;7;20;71;5924;992.3
2;10;4.6;0.4;3.3;5.2;59;76;98;11;36;127;1361;983.2
2;11;0.1;1.4;3.4;4.9;60;68;86;11;29;78;2992;983.6
2;12;0.1;-1.6;4.3;9.5;40;59;83;15;44;60;11130;990.1
2;13;0.0;-1.8;3.2;9.2;53;75;96;5;26;264;10405;996.3
2;14;0.0;-0.5;4.0;10.7;36;68;97;9;29;85;10882;996.0
2;15;0.0;0.2;3.1;7.2;42;58;70;11;29;78;8689;995.0
2;16;0.0;0.0;5.1;10.0;46;64;79;5;16;201;8836;994.2
2;17;0.3;2.9;7.9;12.3;60;76;97;5;19;163;6134;989.1
2;18;6.0;6.3;7.8;9.9;91;98;98;6;19;112;2021;990.3
2;19;83.4;6.2;7.8;9.7;98;98;98;10;32;357;755;983.6
2;20;45.0;2.6;5.7;9.2;84;96;98;11;32;77;1032;982.3
2;21;0.0;0.1;3.7;8.5;58;87;98;5;12;180;6510;995.7
2;22;2.0;2.1;4.8;7.2;86;97;98;5;17;1;2033;994.3
2;23;0.4;3.2;7.6;11.3;69;89;98;4;13;47;6221;990.7
2;24;0.0;3.9;8.8;14.7;61;88;98;4;13;218;9882;992.5
2;25;0.3;1.6;7.1;12.0;82;95;98;5;17;166;11932;995.3
2;26;47.1;4.6;7.8;10.9;83;97;98;8;51;37;941;988.3
2;27;0.1;1.2;7.1;13.5;46;87;98;5;16;217;13917;998.5
2;28;4.4;6.1;8.6;11.6;80;91;98;5;15;0;2393;994.9
3;1;0.1;3.3;7.8;12.7;65;93;98;4;15;163;9587;998.3
3;2;0.1;2.1;8.7;15.5;42;82;98;6;21;105;12619;1005.9
3;3;4.5;2.0;6.9;10.2;54;75;98;12;34;113;7249;1006.1
3;4;0.3;4.3;7.2;10.6;49;65;94;15;35;60;7168;994.4
3;5;0.0;-1.7;4.4;9.2;8;49;83;9;31;12;12701;1002.2
3;6;0.0;-4.4;1.0;6.8;35;60;84;7;27;153;12357;1004.6
3;7;0.0;-4.1;2.3;7.8;26;48;86;18;47;120;14952;1009.0
3;8;0.0;-1.7;1.7;6.1;11;25;44;18;47;107;16924;1004.2
3;9;0.2;-1.5;2.9;5.3;25;31;39;23;63;92;8769;1001.5
3;10;0.8;0.9;3.1;5.0;27;51;81;31;79;75;1558;999.1
3;11;0.0;0.7;4.5;9.9;37;53;68;10;30;99;15513;997.6
3;12;0.0;-0.6;4.6;10.4;43;63;88;6;18;262;13150;1003.1
3;13;0.0;-2.8;4.3;11.6;46;76;98;4;20;199;15876;1007.0
3;14;0.1;-2.4;4.8;12.3;48;81;98;5;23;192;15549;1006.4
3;15;0.2;-2.4;6.5;15.1;21;68;98;5;21;194;17512;1006.9
3;16;0.0;0.0;5.5;12.6;46;79;98;6;29;153;12278;1009.9
3;17;0.1;-1.8;6.7;14.1;27;73;98;5;24;217;14104;1016.9
3;18;0.0;3.9;8.2;13.5;59;85;98;7;27;141;10228;1018.2
3;19;0.0;7.2;9.9;14.6;56;82;98;5;18;185;8476;1017.3
3;20;0.0;5.2;9.3;11.4;80;89;96;6;15;175;2546;1014.1
3;21;0.2;9.2;10.1;10.9;91;97;98;5;15;139;1427;1011.7
3;22;6.6;9.8;11.1;12.4;98;98;98;5;16;100;2202;1010.6
3;23;0.1;7.9;13.5;20.0;58;85;98;4;16;183;17481;1007.9
3;24;0.1;8.1;14.7;20.8;35;67;98;8;30;107;17423;1006.2
3;25;0.0;11.5;14.5;18.7;56;74;97;8;27;196;12928;1007.0
3;26;10.3;10.7;11.8;12.5;94;98;98;8;28;182;1113;1004.4
3;27;5.4;7.0;11.7;16.8;62;88;98;8;23;165;10831;998.2
3;28;0.1;4.0;11.8;19.2;40;77;98;6;19;161;19396;1001.0
3;29;0.0;6.7;12.8;18.2;45;74;97;7;24;178;18006;1002.5
3;30;15.4;9.7;12.6;16.7;67;87;98;12;40;187;6853;994.6
3;31;12.1;5.4;10.0;13.9;65;87;98;8;28;8;6755;993.3
4;1;35.4;3.0;9.1;15.0;56;84;98;11;33;66;12424;1000.7
4;2;1.8;2.7;8.2;13.3;51;75;98;11;28;18;9035;1004.7
4;3;0.0;1.8;9.2;14.7;56;81;98;5;20;190;14995;1008.2
4;4;9.0;8.2;11.2;15.8;57;84;98;9;37;155;10315;1005.6
4;5;5.9;5.4;11.5;17.2;30;84;98;8;25;163;12287;1006.0
4;6;0.1;2.2;10.5;17.7;32;67;98;6;24;230;21432;1012.1
4;7;0.0;3.3;11.6;18.6;35;67;98;5;19;201;21771;1010.1
4;8;0.0;6.2;13.8;21.3;14;50;85;7;22;159;22945;1010.2
4;9;0.0;6.8;15.8;23.4;23;51;82;6;19;264;22139;1012.0
4;10;0.4;9.1;14.0;20.7;36;60;81;12;46;63;18441;1007.4
4;11;0.0;2.2;9.9;16.5;14;51;86;8;39;147;22454;1003.1
4;12;0.0;1.8;9.1;14.2;31;57;88;9;34;21;12979;1000.3
4;13;1.6;4.6;9.6;13.9;55;69;88;7;22;134;8938;1000.2
4;14;0.3;7.9;9.6;12.8;72;85;95;6;22;99;8780;999.3
4;15;0.0;3.4;11.5;18.5;39;72;98;5;22;189;22833;1001.0
4;16;0.0;4.4;13.6;20.7;25;60;98;6;32;0;16553;1002.9
4;17;0.0;7.0;15.7;21.9;22;48;83;13;39;159;21587;1005.5
4;18;7.7;8.2;12.3;17.8;27;72;98;9;28;37;15869;1004.4
4;19;0.1;5.8;14.1;22.4;28;68;98;5;23;190;22437;1000.7
4;20;0.0;5.9;15.4;23.4;23;60;95;7;28;182;23789;1002.5
4;21;0.1;7.8;15.6;21.9;39;69;89;9;30;177;23167;1001.1
4;22;0.0;9.1;13.6;16.9;51;68;98;13;39;99;15867;1002.0
4;23;3.8;10.9;14.2;18.6;52;78;98;6;19;247;7891;1003.5
4;24;0.0;9.9;14.8;19.1;67;88;98;5;21;202;16631;1007.5
4;25;0.1;8.8;18.0;26.3;27;67;98;8;35;140;22603;1010.3
