mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-5.0;-0.5;6.1;15;46;69;5;17;211;7200;1023.1
1;2;0.0;-6.1;-2.2;3.4;58;77;98;5;18;124;6059;1017.8
1;3;0.0;-7.2;-1.0;5.8;41;63;93;6;17;53;7245;1018.3
1;4;0.0;-9.8;-3.4;4.2;26;57;83;3;14;51;7330;1023.0
1;5;0.0;-8.3;-1.4;8.3;10;56;77;3;9;69;7124;1022.7
1;6;0.0;-6.0;0.4;10.8;20;57;77;4;9;149;7212;1018.7
1;7;0.0;-3.4;3.2;11.8;11;45;70;7;24;65;6685;1015.9
1;8;0.0;-4.3;1.5;10.0;32;57;73;4;13;23;6439;1020.9
1;9;0.0;-3.8;2.5;12.4;25;57;77;4;12;29;7227;1024.2
1;10;0.0;-3.8;2.7;13.0;33;63;85;3;11;21;7289;1021.9
1;11;0.0;-4.0;1.3;9.6;45;72;90;3;10;15;6093;1020.3
1;12;0.0;-4.0;3.1;11.7;26;57;83;5;12;43;7328;1019.5
1;13;0.0;-3.2;3.7;9.4;41;56;80;13;31;78;7324;1016.5
1;14;0.0;-4.2;1.1;4.2;52;64;86;10;22;64;3730;1015.0
1;15;0.0;-5.6;-0.7;1.2;59;76;97;8;29;42;1146;1009.8
1;16;0.0;-4.9;-1.1;1.8;65;76;93;8;29;85;3141;1008.7
1;17;0.0;-4.4;0.0;6.0;47;68;91;8;25;45;7424;1010.6
1;18;0.0;-4.3;0.9;8.4;44;68;91;6;22;56;7669;1010.2
1;19;0.0;-5.2;1.1;8.4;46;75;94;4;12;255;7276;1010.8
1;20;0.0;-2.0;2.2;8.6;52;76;92;4;16;311;6628;1013.5
1;21;0.0;-1.1;2.1;6.4;73;90;98;3;9;53;2716;1010.9
1;22;0.0;-0.7;3.1;6.0;79;91;98;3;8;188;3003;1008.4
1;23;0.2;-0.7;3.9;7.5;77;94;98;3;8;153;2484;1007.6
1;24;30.6;3.5;5.8;7.2;98;98;98;6;17;349;557;1000.7
1;25;0.2;1.7;6.6;14.3;60;89;98;5;16;341;7901;1007.1
1;26;0.2;0.8;5.2;9.0;90;97;98;4;16;112;3160;1013.0
1;27;1.4;5.2;5.7;6.4;98;98;98;4;11;119;393;1009.6
1;28;0.0;5.4;6.8;9.2;96;98;98;3;12;213;3298;1014.0
1;29;0.4;-0.6;3.7;6.3;98;98;98;3;12;176;3474;1018.0
1;30;0.2;2.9;4.9;6.2;98;98;98;3;10;3;1273;1018.6
1;31;0.8;4.3;5.3;6.0;98;98;98;3;14;197;787;1015.1
2;1;0.2;1.6;6.7;11.6;79;95;98;3;10;166;5476;1016.4
2;2;0.2;-1.5;5.1;15.4;64;91;98;3;22;175;9147;1021.8
2;3;0.2;-2.9;1.4;4.4;98;98;98;4;13;148;3251;1019.3
2;4;0.2;0.6;1.9;2.7;98;98;98;3;11;255;1672;1015.0
2;5;0.4;-0.5;0.8;2.9;98;98;98;5;14;26;1895;1009.1
2;6;31.4;2.8;5.6;7.7;98;98;98;9;28;47;419;997.7
2;7;17.6;4.2;8.4;15.0;60;90;98;8;30;56;5396;1004.4
2;8;0.0;3.5;7.5;13.7;66;88;98;4;12;335;7291;1011.9
2;9;0.2;2.2;6.4;12.0;75;93;98;4;17;155;9017;1008.1
2;10;0.2;1.9;6.6;11.7;78;95;98;4;17;134;8070;1001.5
2;11;0.0;-0.5;4.7;9.8;70;95;98;4;18;156;5631;1006.9
2;12;0.2;5.2;6.3;7.9;85;97;98;4;14;118;1803;1008.3
2;13;0.2;5.5;6.1;6.9;91;98;98;4;12;12;1268;1006.4
2;14;0.2;6.2;8.3;9.7;63;81;96;11;46;48;896;1006.1
2;15;1.6;3.1;6.3;8.6;45;61;80;34;62;48;1336;1011.6
