mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;11.0;2.0;5.2;8.3;83;93;98;7;24;358;2095;999.0
1;2;34.6;4.8;6.4;8.4;85;92;98;15;45;45;-;996.7
1;3;6.9;1.5;6.1;11.0;81;91;98;7;27;53;3825;997.3
1;4;0.0;0.7;5.1;7.5;84;90;100;5;13;57;2494;998.4
1;5;4.8;2.4;5.7;8.2;80;88;97;7;24;95;2833;996.9
1;6;4.0;2.1;4.6;6.7;88;93;100;6;26;49;2594;997.9
1;7;0.0;0.4;3.4;7.7;81;95;100;3;12;74;4316;1001.9
1;8;0.0;-0.6;3.2;8.1;55;75;99;8;23;339;6402;1001.8
1;9;0.0;-1.6;2.6;7.2;45;61;78;11;40;58;5474;1006.5
1;10;0.0;-1.6;2.9;4.8;50;58;74;14;50;34;2136;1006.5
1;11;0.0;-3.3;0.9;5.9;47;66;84;7;23;90;5452;1007.4
1;12;0.0;-5.8;-0.8;4.2;50;72;87;3;13;339;4825;1003.7
1;13;0.0;-4.5;1.0;9.5;43;72;87;4;13;336;7439;1001.9
1;14;0.0;-0.9;4.3;10.9;30;59;85;10;48;3;5966;999.3
1;15;0.0;-3.9;1.8;6.8;35;54;78;7;24;65;7214;1006.2
1;16;0.0;-6.0;-0.4;5.5;51;71;83;5;14;150;7652;1009.4
1;17;0.0;-1.9;0.9;3.9;57;66;78;7;21;78;3466;1005.3
1;18;0.0;-4.8;-0.2;5.7;58;75;92;4;12;25;6350;1012.2
1;19;0.0;-5.3;0.2;5.3;74;86;96;3;10;176;4599;1013.0
1;20;0.4;-2.3;2.1;4.8;82;88;99;4;10;323;1042;1009.6
1;21;5.1;1.6;5.4;7.6;93;98;100;4;11;11;1336;1003.1
1;22;45.5;6.5;8.8;11.1;96;99;100;7;34;111;1141;991.1
1;23;24.6;4.0;7.2;11.1;87;94;100;10;46;216;714;983.8
1;24;0.0;0.1;4.6;7.5;75;92;100;7;25;346;2476;985.7
1;25;0.8;-1.0;2.7;6.5;70;82;93;6;17;348;3072;990.8
1;26;0.0;-3.8;1.7;8.3;55;80;97;4;17;232;9460;1002.2
1;27;0.0;-4.1;0.9;7.3;43;74;93;4;14;15;6878;1004.7
1;28;0.0;-4.2;0.4;5.9;67;84;97;5;16;112;4915;1001.6
1;29;0.0;-3.0;1.7;5.0;83;89;98;4;15;109;682;993.8
1;30;2.0;-0.6;4.8;9.4;84;93;100;5;20;10;6517;989.5
1;31;23.7;2.9;5.6;7.6;71;83;98;16;44;68;3610;986.0
2;1;0.0;0.6;4.1;9.3;61;79;99;6;30;80;8531;989.0
2;2;0.0;0.3;5.4;9.4;71;87;99;4;15;333;3275;999.5
2;3;2.0;2.3;5.8;7.9;87;96;100;2;11;327;1187;1002.2
2;4;0.3;5.6;7.2;9.3;96;99;100;2;8;127;2478;1004.7
2;5;1.2;6.9;8.9;11.3;92;98;100;4;12;332;2813;1005.0
2;6;0.1;8.0;8.9;9.8;97;99;100;3;17;30;1144;1001.0
2;7;16.4;9.0;10.8;12.4;97;99;100;12;47;177;538;986.4
2;8;17.9;5.2;8.1;10.0;83;94;100;9;43;168;6467;982.2
2;9;3.2;6.6;8.8;11.7;84;94;100;6;21;137;5046;987.1
