mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-5.6;0.4;8.2;39;63;79;5;16;274;6632;1014.0
1;2;0.0;-6.2;-0.4;6.1;32;62;84;5;17;138;6859;1013.6
1;3;0.4;-3.4;0.9;3.0;49;61;84;8;21;46;2081;1012.6
1;4;1.4;0.8;3.1;6.2;79;87;92;5;14;28;1627;1014.7
1;5;9.8;3.0;5.1;6.6;76;91;97;4;12;63;665;1012.3
1;6;11.2;4.8;6.6;8.0;93;96;97;3;11;136;1113;1005.8
1;7;0.0;1.5;5.6;7.8;86;94;97;3;12;7;1062;1011.0
1;8;0.0;0.6;5.9;14.0;44;80;97;5;15;357;6869;1014.8
1;9;0.0;0.4;5.1;7.4;80;88;97;4;13;140;1900;1014.7
1;10;0.0;-0.5;4.6;8.4;76;90;97;2;8;108;4006;1016.0
1;11;7.4;4.3;6.0;7.2;83;92;96;3;10;357;858;1011.5
1;12;43.0;7.2;10.1;11.7;85;92;98;8;23;165;913;1002.5
1;13;12.4;6.7;8.8;10.4;76;86;95;7;19;177;1428;1007.0
1;14;0.0;6.3;7.7;10.7;74;86;91;4;14;177;3681;1009.5
1;15;0.8;6.3;7.8;10.2;73;85;93;4;12;49;3738;1009.0
1;16;21.4;5.9;7.5;8.8;89;93;96;7;18;41;1000;1001.2
1;17;65.4;6.3;7.3;8.1;89;92;94;10;24;57;500;1004.3
1;18;0.6;7.3;8.1;8.9;93;96;98;4;13;61;1035;1011.7
1;19;0.2;3.9;7.5;9.4;81;94;98;2;8;337;1716;1017.2
1;20;0.2;1.9;5.5;8.0;82;90;97;3;10;120;4045;1018.0
1;21;0.8;4.4;5.7;7.0;81;90;96;3;12;218;1084;1013.4
1;22;0.0;3.6;6.4;10.6;15;77;96;7;41;354;3379;1003.6
1;23;0.0;-0.7;5.5;11.9;11;42;75;7;33;4;8512;1018.6
1;24;0.0;-2.5;3.7;11.8;27;61;83;4;11;319;8197;1021.9
1;25;0.0;-1.2;5.1;13.1;35;61;81;5;20;47;4077;1023.7
1;26;0.0;-2.8;3.8;11.8;33;67;89;4;12;336;8428;1022.9
1;27;0.0;-3.1;2.4;9.0;55;82;94;4;11;177;6235;1013.4
1;28;0.0;-0.2;7.0;15.6;39;68;93;5;17;62;7184;1017.3
1;29;0.0;-1.4;5.1;12.1;53;76;94;4;10;46;8002;1018.4
1;30;0.0;-0.5;4.6;6.9;69;88;94;4;13;52;1211;1014.4
1;31;0.0;3.7;7.3;11.5;58;82;95;3;10;1;5275;1010.8
2;1;0.0;2.3;4.5;6.1;81;94;97;3;13;192;768;1007.6
2;2;19.2;4.4;6.3;7.7;80;92;96;7;30;49;862;1005.5
2;3;2.2;5.0;6.1;7.4;57;70;91;13;34;66;2259;1014.6
2;4;19.4;5.8;7.8;9.9;86;93;97;7;23;359;2105;1006.0
