mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;1.0;6.0;10.2;54;72;90;9;26;44;6444;999.4
1;2;8.2;1.3;5.2;6.9;81;91;97;4;12;307;903;994.2
1;3;0.2;5.4;6.8;8.8;88;95;97;3;11;146;2011;990.3
1;4;0.0;3.3;6.8;9.7;75;88;97;5;13;149;3204;989.0
1;5;6.8;3.0;6.0;9.1;65;79;91;8;33;72;1703;987.4
1;6;0.8;0.8;2.7;3.9;65;72;85;10;30;66;1400;994.7
1;7;0.4;-2.9;0.7;2.5;58;76;88;10;39;49;1598;989.8
1;8;0.0;-1.5;0.3;2.0;49;61;83;14;54;59;2492;998.0
1;9;1.6;-2.9;-0.6;0.5;50;60;87;28;59;81;1529;993.4
1;10;0.0;-3.5;-0.9;2.0;54;63;81;18;39;51;3486;999.3
1;11;0.0;-3.2;-0.4;3.0;42;49;59;18;41;92;6939;1008.0
1;12;0.0;-7.7;-2.8;1.6;26;42;64;9;33;44;7647;1014.0
1;13;0.0;-9.3;-2.6;3.2;32;60;80;4;10;1;5302;1015.1
1;14;0.0;-5.5;0.2;8.7;26;62;80;3;11;0;6627;1018.4
1;15;0.0;-4.1;1.0;7.8;53;74;91;3;9;42;6116;1019.2
1;16;0.0;-3.1;2.0;6.2;68;81;92;5;11;7;3601;1015.7
1;17;0.2;-2.8;4.1;10.8;47;67;89;9;25;74;7214;1014.9
1;18;0.0;-0.8;4.5;11.7;38;62;79;7;25;67;6969;1007.6
1;19;0.0;-1.6;4.6;12.2;31;58;81;6;19;34;7811;1004.1
1;20;0.0;-2.5;3.5;11.2;38;67;84;4;10;181;7068;1002.5
1;21;22.4;-0.3;5.1;9.1;73;85;96;7;25;158;550;994.1
1;22;21.6;2.0;6.5;8.3;77;89;95;8;24;57;2079;989.9
1;23;0.2;-0.7;4.4;9.9;70;86;96;4;11;27;4191;1000.2
1;24;0.2;-1.8;5.1;13.2;34;67;88;5;14;147;8168;1010.8
1;25;0.0;-1.4;5.7;11.6;34;54;81;11;38;94;8244;1014.9
1;26;0.0;0.3;5.8;11.9;28;49;67;9;19;1;8589;1011.9
1;27;0.0;-1.6;2.8;8.8;44;66;82;5;14;262;5522;1010.9
1;28;0.0;-1.6;3.0;8.0;53;73;87;4;16;161;5821;999.8
1;29;0.0;-;3.1;-;-;-;-;-;-;-;-;-
1;30;0.0;-3.4;2.7;8.0;50;68;84;6;34;48;6481;987.6
1;31;0.0;-4.0;3.9;11.0;23;53;74;6;24;47;7316;989.8
2;1;0.0;-4.6;1.9;8.3;14;41;75;7;21;87;8696;1003.0
2;2;0.0;-5.2;-0.8;4.0;33;51;70;6;18;95;8628;1005.0
2;3;2.8;-5.2;0.3;5.2;41;60;89;6;24;342;6714;998.1
2;4;13.0;0.9;3.0;5.2;79;88;93;7;23;60;307;977.2
2;5;0.0;-0.9;4.2;10.5;16;46;94;8;29;325;7034;982.7
2;6;0.0;-5.3;2.9;10.4;14;45;69;7;22;328;9731;997.0
2;7;0.0;-4.4;1.9;8.2;17;44;66;6;17;340;10052;1008.6
2;8;0.0;-3.4;3.3;9.1;18;46;66;5;16;97;9402;1008.7
2;9;0.0;-1.8;2.8;7.8;40;56;67;7;20;53;9570;1009.5
2;10;0.0;-2.4;2.5;7.6;39;53;70;12;29;62;9553;1010.2
2;11;0.2;-3.1;2.9;7.7;40;54;72;8;21;140;9555;1011.5
2;12;0.0;-3.0;1.4;6.3;28;48;72;13;36;73;9235;1013.9
2;13;0.0;-1.4;1.1;4.7;35;44;50;14;32;95;6971;1012.9
2;14;0.0;-2.4;1.2;6.7;33;45;54;15;33;70;8921;1012.4
2;15;0.0;-5.7;1.4;8.3;24;47;70;6;22;96;10659;1011.6
2;16;0.0;-5.2;1.1;7.0;22;46;69;13;43;93;11404;1015.5
2;17;0.0;-0.4;2.1;5.7;29;39;50;21;53;85;10497;1017.3
2;18;0.0;-4.9;2.1;9.0;17;37;58;8;28;48;11581;1010.0
2;19;0.0;-3.2;2.2;8.2;21;38;61;7;21;58;11704;1006.2
2;20;0.0;-5.5;3.1;11.7;20;47;75;5;15;324;11700;1004.1
2;21;0.0;-1.8;6.1;12.3;28;43;61;15;31;43;12199;1010.4
2;22;0.0;0.4;4.4;9.6;34;47;61;12;32;134;11794;1018.0
2;23;0.0;-4.2;4.0;11.2;9;34;58;9;28;57;12909;1021.3
2;24;0.0;-5.2;4.3;14.4;10;38;63;5;15;266;13031;1017.5
2;25;0.0;-4.9;6.1;16.3;8;37;71;6;19;41;13407;1014.2
2;26;0.0;-3.9;4.7;13.0;22;52;77;5;21;253;12875;1012.7
2;27;0.0;-2.8;5.3;12.9;39;64;87;5;18;189;12170;1011.4
2;28;0.0;-1.8;5.3;13.3;44;69;89;4;15;222;10964;1014.3
3;1;0.0;-1.1;5.7;13.5;43;71;90;4;14;189;11121;1012.1
3;2;0.0;1.4;7.2;12.7;47;68;85;5;16;161;5299;1003.5
3;3;0.0;4.2;9.4;14.2;43;62;84;5;19;270;5811;999.5
3;4;0.0;0.4;8.7;16.7;25;55;86;5;19;216;13399;1007.2
3;5;0.0;-0.1;7.9;15.8;38;57;79;5;15;282;12637;1008.7
3;6;0.0;1.0;7.7;14.3;41;60;84;9;29;69;8241;1003.8
3;7;0.0;6.3;9.9;15.2;40;51;67;11;27;90;11245;1006.7
3;8;0.0;5.0;10.2;16.4;37;51;70;6;16;65;12575;1008.3
3;9;0.0;1.1;9.4;17.2;33;57;81;4;14;250;10534;1010.8
3;10;0.0;1.9;9.4;17.8;39;64;86;4;14;173;11589;1011.8
3;11;0.0;0.7;9.2;17.1;40;67;88;5;17;172;11294;1012.0
3;12;0.0;5.2;9.0;13.5;64;80;93;5;19;170;2867;1006.4
3;13;0.0;1.0;9.9;18.7;28;61;92;9;41;134;15155;1007.1
3;14;0.0;-0.6;6.4;12.6;33;52;75;5;19;220;13132;1012.7
3;15;0.0;-1.5;5.9;12.8;22;46;72;6;22;195;15149;1018.5
3;16;0.0;-2.7;6.7;15.4;17;38;65;7;32;134;14405;1019.5
3;17;0.0;-1.1;7.9;15.9;17;42;71;6;21;336;15065;1014.1
3;18;0.0;0.4;9.7;17.9;13;36;58;6;19;315;16469;1011.3
3;19;0.0;0.6;8.3;15.4;28;46;70;6;19;307;15090;1010.0
3;20;0.0;1.0;8.4;17.0;35;54;76;6;22;176;15718;1006.7
3;21;0.0;0.9;9.1;16.1;24;44;79;12;36;76;16168;1008.5
3;22;0.0;1.4;7.1;13.5;11;22;35;12;30;63;16961;1013.2
3;23;0.0;-1.5;6.0;12.9;14;28;51;7;19;51;17659;1016.6
3;24;0.0;-1.4;8.9;18.9;9;35;56;5;18;159;17703;1014.2
3;25;0.0;1.9;11.3;21.6;13;39;60;6;21;183;17315;1008.0
3;26;0.0;1.4;12.3;22.4;11;39;61;6;24;178;17228;1004.6
3;27;0.0;3.4;11.9;20.5;18;49;83;6;22;175;15337;1006.7
3;28;0.0;3.1;11.4;18.3;42;64;87;5;22;167;14905;1004.5
3;29;0.0;6.8;12.1;16.6;54;71;91;5;13;0;7432;1002.7
3;30;0.0;5.7;11.4;15.7;58;75;95;3;15;166;6016;1002.7
3;31;0.2;6.6;11.3;15.4;58;78;93;4;18;1;4792;1003.2
4;1;0.0;5.0;12.2;18.4;24;42;83;10;28;65;17755;1006.4
4;2;51.6;5.9;7.9;11.0;32;69;89;11;40;49;499;992.0
4;3;36.0;5.6;7.1;9.3;72;82;90;9;19;80;2809;997.4
4;4;1.0;3.0;9.7;15.3;27;52;87;11;40;39;15527;1004.8
4;5;0.0;1.4;8.9;15.4;35;56;80;6;27;267;20819;998.7
4;6;0.0;1.9;6.0;9.6;29;54;88;14;46;96;13104;997.9
4;7;0.0;-1.9;3.2;8.7;8;31;62;11;41;32;19553;1003.0
4;8;0.0;-3.2;4.6;11.2;11;38;57;8;26;213;21699;1006.8
4;9;0.0;3.2;7.5;12.3;26;51;71;11;42;173;14840;1001.4
4;10;22.8;5.4;6.5;7.9;71;85;91;8;24;22;1764;994.3
4;11;0.0;5.2;8.1;11.9;64;81;92;5;14;65;5840;999.5
4;12;26.8;5.5;8.4;9.8;69;81;89;11;31;57;2037;1003.2
4;13;0.0;4.4;12.9;20.6;35;62;92;6;18;237;21832;1005.7
4;14;0.0;5.9;15.0;21.5;30;49;78;12;35;92;21317;1006.6
4;15;0.0;11.7;15.5;20.2;33;46;63;12;34;109;12119;1009.1
4;16;0.0;7.2;16.7;23.6;20;43;78;11;36;89;21795;1007.6
4;17;0.0;7.7;16.3;23.0;16;39;70;10;32;94;19505;1007.5
4;18;3.0;6.4;14.7;22.6;23;49;72;9;44;322;21329;1001.9
4;19;1.4;9.7;12.3;16.6;46;64;77;14;31;51;9305;1001.5
4;20;0.2;10.4;14.6;19.7;28;52;72;6;19;272;12366;1001.9
4;21;0.0;8.7;14.1;19.4;40;59;78;7;23;329;10379;1000.1
4;22;0.0;6.1;14.7;23.1;24;57;91;7;27;300;18891;997.2
4;23;0.0;8.0;16.1;24.0;23;50;73;7;27;194;20006;995.7
4;24;0.0;8.7;15.9;23.5;32;53;76;7;26;184;22197;1000.5
4;25;0.0;9.4;16.2;23.2;32;53;80;6;29;142;20481;1004.6
4;26;0.0;8.2;16.0;22.9;29;57;78;8;26;155;19908;1002.4
4;27;17.0;12.7;14.7;19.4;52;77;94;7;25;91;14755;1000.8
4;28;0.0;12.0;15.1;20.0;59;79;93;6;22;167;13969;1003.7
4;29;0.0;11.7;15.0;19.8;66;82;92;4;17;156;6653;1006.4
4;30;0.0;10.9;16.6;22.1;53;73;95;5;15;151;13686;1006.6
5;1;0.2;14.4;18.5;24.3;50;71;90;6;19;120;18842;1005.8
5;2;0.0;12.9;18.8;24.4;50;69;90;6;22;191;16080;1003.6
5;3;0.0;13.3;18.6;23.9;40;63;92;8;39;336;19676;1003.9
5;4;0.0;14.0;20.5;27.9;21;40;61;10;34;74;25301;1007.7
5;5;0.0;11.3;20.5;28.5;33;53;79;5;16;177;23388;1003.6
5;6;0.0;12.4;21.1;30.0;17;53;84;6;23;125;25291;1003.3
5;7;0.0;12.0;21.1;29.0;28;53;88;5;21;153;23534;1004.9
5;8;0.0;13.9;21.5;28.7;28;51;76;5;20;149;17854;1003.3
5;9;0.0;15.0;21.2;27.6;39;56;72;8;25;175;17546;1000.6
5;10;0.2;14.2;20.0;25.2;44;62;75;8;26;322;7370;1002.7
