mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-3.4;1.1;6.8;41;70;94;4;11;276;6235;1014.7
1;2;0.0;-4.3;0.5;7.8;40;75;91;3;11;116;6602;1016.6
1;3;0.0;-4.5;-0.1;6.5;52;83;98;3;12;8;4902;1017.9
1;4;0.0;-4.6;-0.2;6.6;59;87;99;3;9;0;6883;1012.4
1;5;0.0;-3.3;1.6;10.2;48;81;97;4;9;248;6894;1011.6
1;6;0.0;-3.4;1.7;8.2;54;82;96;4;10;186;6710;1012.0
1;7;0.0;-2.6;4.0;12.9;41;73;95;6;22;51;6909;1013.5
1;8;0.0;-1.1;4.5;11.2;50;75;93;5;12;81;6738;1013.7
1;9;0.0;0.3;3.9;8.0;71;84;95;5;15;131;3295;1013.2
1;10;0.0;-0.1;3.3;7.9;55;73;95;9;23;80;3865;1017.9
1;11;0.0;-0.6;3.5;8.0;51;66;77;13;30;51;5660;1023.0
1;12;0.0;-2.6;1.5;6.0;40;60;80;10;26;44;7257;1021.4
1;13;0.0;-2.3;1.1;5.4;40;57;76;8;22;34;7084;1015.7
1;14;0.0;-1.1;2.1;5.5;54;64;77;6;14;111;1691;1012.5
1;15;0.0;-1.4;4.4;10.6;49;65;86;12;36;78;7242;1012.8
1;16;0.0;-4.2;1.6;5.8;45;61;87;15;49;62;6516;1015.6
1;17;0.0;-5.6;-0.2;3.9;54;76;90;5;13;2;5319;1006.9
1;18;0.0;-3.6;2.0;10.9;36;81;99;9;41;32;3447;994.3
1;19;0.0;-3.1;3.6;10.0;34;63;89;8;40;26;7842;1006.8
1;20;0.0;-4.2;1.1;8.2;28;52;70;4;13;255;5953;1013.4
1;21;0.0;-3.4;1.4;7.2;54;73;97;5;14;304;7237;1003.1
1;22;1.0;-1.7;0.2;2.4;51;74;97;12;37;96;1481;1001.4
1;23;0.0;-5.6;1.3;7.4;45;69;89;7;23;50;7459;993.3
1;24;0.0;-7.6;-0.8;3.4;16;44;70;11;41;49;8283;1004.4
1;25;0.0;-10.8;-4.4;2.0;23;48;75;5;11;222;9005;1016.5
1;26;0.0;-10.7;-4.0;3.1;32;58;83;4;12;324;8919;1020.2
1;27;0.0;-8.2;-1.9;5.0;39;67;84;4;12;169;8716;1019.3
1;28;0.0;-3.4;0.9;6.3;56;74;90;5;16;333;6423;1013.5
1;29;0.0;-3.0;1.2;4.8;63;76;84;5;13;149;4145;1007.6
1;30;0.0;-1.5;2.9;8.2;66;80;96;5;12;72;4523;1006.4
1;31;0.0;-2.3;3.2;9.3;74;91;99;5;15;159;4660;1014.0
2;1;0.2;1.2;5.8;9.2;76;92;99;4;12;29;1827;1017.2
2;2;0.4;3.7;5.2;6.4;95;98;99;3;9;37;801;1011.1
2;3;0.0;0.4;7.1;14.7;56;87;99;5;18;162;8180;1014.0
2;4;0.0;-1.3;4.8;12.1;38;71;95;5;19;268;8790;1025.2
2;5;0.0;-0.1;4.2;9.4;73;90;99;3;10;160;5048;1022.5
2;6;0.0;-1.0;1.7;4.2;99;99;99;3;8;155;3596;1017.6
2;7;0.0;-0.1;2.1;4.7;99;99;99;4;15;23;1845;1012.7
2;8;0.2;4.2;5.0;5.8;96;99;99;3;10;195;868;1008.2
2;9;0.6;0.0;6.2;9.6;27;83;99;5;32;345;3469;1005.3
2;10;0.0;-1.3;4.6;12.2;31;61;89;5;14;191;11080;1013.7
2;11;0.0;-1.4;5.7;12.2;36;61;84;6;27;60;7371;1013.0
2;12;0.0;0.1;6.9;11.6;43;59;87;12;39;44;8899;1012.9
2;13;0.0;-0.7;5.4;13.5;36;66;89;5;14;274;10511;1010.6
2;14;0.0;-2.2;5.2;13.8;34;65;90;5;17;171;11329;1008.7
2;15;0.0;0.3;6.5;12.7;37;62;83;6;19;183;10117;1008.4
2;16;4.2;2.9;5.6;6.6;70;83;98;8;37;356;835;996.3
2;17;0.0;-1.1;4.5;9.9;36;77;97;7;32;125;12247;994.3
2;18;0.0;-3.5;2.3;7.5;44;65;95;6;15;319;8047;1001.7
2;19;0.0;-1.9;4.3;11.4;49;70;94;6;18;130;10169;997.4
2;20;0.0;-3.1;6.8;15.0;14;47;93;11;32;327;12928;1002.9
2;21;0.0;-2.4;5.2;11.4;13;43;72;8;26;299;12731;1013.0
2;22;0.0;-2.7;3.0;8.4;29;46;74;5;19;255;11826;1015.2
2;23;0.0;-3.5;2.3;9.3;34;57;78;4;15;265;12375;1015.1
2;24;0.0;-3.8;3.4;11.0;32;61;83;4;17;165;12852;1018.5
2;25;0.0;-1.0;4.3;10.5;43;67;86;5;14;22;9942;1017.6
2;26;0.0;0.4;6.7;11.3;53;68;82;5;16;358;3568;1019.9
2;27;0.0;1.3;8.4;16.4;32;62;89;5;14;193;13059;1020.9
