mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-4.1;0.0;5.9;68;91;98;3;9;1;3762;1005.5
1;2;0.0;-2.6;3.0;7.2;55;74;98;12;41;86;2989;1002.2
1;3;0.0;-4.2;0.6;6.8;13;57;84;5;17;72;7468;1008.1
1;4;0.0;-5.4;-0.8;3.7;26;55;83;8;26;67;4515;1007.6
1;5;0.0;-6.3;-1.5;2.7;38;62;81;5;19;74;3845;1007.2
1;6;0.6;-0.7;0.8;2.5;51;69;98;4;16;14;1011;1007.9
1;7;10.7;0.3;2.9;4.5;98;98;98;3;9;2;458;1010.7
1;8;6.3;3.7;5.3;6.5;98;98;98;3;10;107;541;1009.8
1;9;0.3;5.3;6.8;8.0;98;98;98;4;11;137;1121;1009.8
1;10;56.3;6.9;8.2;9.2;98;98;98;7;26;3;566;1007.4
1;11;17.9;7.1;7.8;9.2;97;98;98;7;27;0;607;1001.4
1;12;0.0;2.6;7.6;12.4;70;94;98;3;9;19;5998;1006.3
1;13;0.0;0.4;4.4;6.0;98;98;98;3;13;144;1524;1005.6
1;14;0.0;3.3;6.4;10.1;81;95;98;4;11;213;5448;1007.6
1;15;0.0;0.6;5.9;10.1;77;95;98;4;14;263;3806;1011.4
1;16;0.0;0.5;4.1;8.9;95;98;98;4;15;218;6466;1016.7
1;17;0.0;-0.5;1.5;3.6;98;98;98;3;12;184;3643;1014.5
1;18;0.0;-1.0;0.5;2.2;98;98;98;3;11;264;2839;1011.6
1;19;6.4;-1.2;2.5;5.4;98;98;98;5;17;42;2247;1008.5
1;20;0.0;-1.0;4.3;9.0;34;75;98;4;15;125;5386;1006.6
1;21;0.0;-1.3;3.2;6.2;34;53;89;9;33;98;3888;1008.3
1;22;0.0;-0.6;2.7;6.7;31;43;58;14;34;110;8226;1006.9
1;23;0.0;-5.9;-0.1;5.8;32;63;92;5;22;72;8727;1005.6
1;24;0.0;-3.5;1.2;6.8;29;59;82;5;15;87;5486;1005.9
1;25;0.0;-4.1;0.1;3.6;52;77;94;3;10;55;2696;1002.8
1;26;0.0;-0.6;2.4;5.5;65;78;91;4;14;190;3245;997.6
1;27;0.0;0.4;5.1;10.0;57;66;84;9;38;82;6297;1000.6
1;28;0.0;1.0;4.9;8.2;27;44;61;25;56;87;9201;1005.1
1;29;0.0;0.9;3.1;5.8;37;46;54;20;44;68;6130;1006.2
1;30;0.0;-0.3;3.3;5.5;49;55;67;14;32;65;2948;1003.5
1;31;0.0;0.1;3.2;8.0;42;56;66;16;35;108;9640;1006.7
2;1;0.0;-3.9;3.8;11.6;22;46;82;10;25;105;9959;1008.5
2;2;0.0;-4.3;4.0;13.0;11;41;72;9;30;105;10110;1009.1
2;3;0.0;-3.8;3.6;11.4;17;48;79;7;19;56;8240;1011.9
2;4;0.0;-2.1;5.7;15.4;11;44;72;6;19;88;10515;1014.9
2;5;0.0;-1.9;3.1;7.5;53;69;88;3;7;42;2453;1014.4
2;6;0.0;-2.8;4.7;15.5;22;66;98;3;15;258;10716;1014.3
2;7;0.0;-2.4;4.7;15.5;28;74;98;3;9;225;10593;1012.6
2;8;0.0;-2.9;3.4;13.1;39;81;98;3;13;179;10021;1008.2
2;9;0.0;-0.2;9.7;16.4;25;49;91;10;33;84;10764;1008.9
2;10;0.0;-0.5;6.3;15.7;25;64;93;5;14;106;10641;1009.5
2;11;0.0;-2.3;3.3;8.2;64;91;98;5;19;172;5896;1006.9
2;12;0.0;4.2;6.9;8.2;85;94;98;6;18;154;2204;1004.7
2;13;0.2;6.2;7.2;8.9;80;90;98;6;14;78;1555;1002.2
2;14;0.0;4.8;7.9;11.4;65;82;95;4;16;86;6865;999.0
2;15;0.0;5.6;6.6;8.4;69;76;85;8;18;92;2712;994.7
