mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-4.3;-;6.8;44;21;95;3;16;78;5879;0.0
1;2;0.0;-2.6;-;6.4;78;7;96;3;9;32;4177;0.0
1;3;0.0;1.3;-;4.2;83;19;98;4;16;33;1193;9.2
1;4;0.0;0.9;-;3.6;86;2;99;3;11;334;974;5.4
1;5;0.0;0.4;-;6.2;81;0;99;3;13;99;4798;14.2
1;6;0.0;-0.9;-;6.4;78;18;99;3;9;171;2857;15.0
1;7;0.2;0.5;-;3.4;96;0;99;2;10;55;1044;20.1
1;8;0.2;1.1;-;6.4;87;19;99;3;15;136;3639;15.4
1;9;0.4;2.5;-;5.4;99;1;99;2;7;23;1030;21.4
1;10;15.2;4.3;-;8.0;99;0;99;6;15;46;934;19.6
1;11;0.0;2.6;-;12.0;69;0;99;5;17;176;5804;16.6
1;12;0.2;2.0;-;7.4;94;0;99;4;10;277;3002;15.3
1;13;0.0;-0.9;-;8.3;70;0;99;4;14;88;6302;0.0
1;14;0.0;-2.2;-;8.3;52;22;99;4;13;285;6850;0.0
1;15;0.0;-1.8;-;4.4;84;0;99;3;11;180;6046;16.4
1;16;0.2;-4.2;-;-0.1;99;0;99;2;8;20;3661;0.0
1;17;0.2;-2.9;-;7.0;85;0;99;4;18;11;5752;16.1
1;18;0.2;-3.4;-;7.5;44;0;99;3;10;19;4684;0.0
1;19;0.0;-4.1;-;3.7;81;15;99;3;12;220;6279;0.0
1;20;0.4;-0.1;-;8.8;54;0;99;9;40;80;5202;16.3
1;21;0.0;-1.9;-;0.7;35;0;59;27;62;81;2226;0.0
1;22;0.0;-0.6;-;1.8;40;11;78;26;53;60;2456;0.1
1;23;0.0;-1.6;-;6.9;51;6;77;15;38;62;3564;21.4
1;24;6.6;1.8;-;8.2;67;17;99;11;31;72;1975;16.2
1;25;0.0;0.7;-;12.1;43;0;98;14;35;55;7724;16.1
1;26;0.0;-0.8;-;11.7;40;5;89;13;34;66;8330;16.2
1;27;0.0;1.0;-;7.1;44;4;66;22;40;68;8722;15.5
1;28;0.0;-2.6;-;7.9;37;6;75;14;36;87;8561;15.6
1;29;0.0;-3.2;-;9.8;39;22;93;4;15;228;5283;16.4
1;30;0.0;-0.5;-;16.3;34;1;95;5;21;137;8598;16.3
1;31;0.0;-2.4;-;12.9;41;6;99;4;16;165;8715;16.2
2;1;0.0;-1.9;-;11.5;49;2;94;5;19;128;9537;15.6
2;2;0.0;-2.1;-;6.4;66;19;99;3;17;219;5718;16.1
2;3;0.0;0.7;-;4.7;77;19;97;4;11;85;2326;16.3
2;4;0.0;-1.2;-;10.1;52;20;99;4;15;355;9030;15.6
2;5;0.0;-2.4;-;9.2;62;0;99;4;16;170;7204;16.2
2;6;0.0;0.2;-;12.0;59;1;99;4;12;339;9517;16.3
2;7;0.2;-2.2;-;5.6;85;1;99;3;13;170;6696;16.4
2;8;0.2;-1.6;-;4.0;99;0;99;3;13;168;7840;15.2
2;9;0.2;-2.0;-;2.1;99;0;99;4;15;132;3690;0.0
2;10;13.4;2.0;-;5.9;95;0;99;6;17;58;2016;19.4
2;11;0.0;0.0;-;9.9;60;4;99;6;16;341;9343;16.1
2;12;0.4;4.5;-;8.8;79;0;99;2;10;207;5500;16.5
2;13;5.4;5.1;-;7.4;89;0;99;3;12;350;2531;15.4
2;14;6.0;2.6;-;10.7;80;0;99;5;15;44;4606;16.3
2;15;0.0;2.3;-;13.1;49;0;99;5;13;208;10594;17.0
2;16;0.8;3.7;-;7.6;91;0;99;5;15;99;2223;16.5
2;17;0.0;-1.5;-;8.1;21;0;99;10;31;332;7408;0.0
2;18;0.0;-3.9;-;6.3;12;21;71;7;23;44;12631;15.3
2;19;-;-;-;-;-;-;-;-;-;-;-;-
2;20;0.0;-5.0;-;5.3;38;-;86;6;19;141;-;-
2;21;0.0;-6.0;-;6.5;38;20;91;4;20;233;11818;16.4
2;22;0.0;-3.8;-;9.7;38;4;93;3;14;194;11748;17.4
2;23;0.0;-1.1;-;8.1;66;20;99;3;13;265;8144;16.1
2;24;0.2;-2.6;-;14.6;38;1;99;4;14;338;12534;17.0
2;25;0.0;-1.5;-;14.4;26;0;99;4;14;22;10190;17.1
2;26;0.0;0.8;-;12.8;30;22;94;3;10;229;8635;17.1
2;27;0.0;-0.9;-;13.8;40;21;98;4;12;205;12956;16.4
2;28;0.0;-0.8;-;12.9;52;4;99;4;14;261;12165;16.4
2;29;0.2;-0.5;-;19.3;22;0;99;5;15;237;13844;16.5
3;1;0.0;0.1;-;17.8;27;21;99;4;17;203;13688;17.0
3;2;0.0;-1.1;-;7.4;83;6;99;6;18;135;8857;17.1
3;3;0.0;1.2;-;14.7;29;6;99;5;19;201;12253;16.1
3;4;0.2;-0.2;-;14.7;35;3;99;4;13;211;12814;16.4
3;5;0.2;-0.1;-;17.7;45;2;99;5;18;166;12641;16.5
3;6;0.0;3.3;-;13.5;60;5;99;3;14;23;7728;17.1
3;7;0.8;8.5;-;15.7;39;6;80;10;31;132;10437;16.1
3;8;0.0;5.7;-;14.1;24;3;66;16;35;93;14533;15.2
3;9;0.0;1.2;-;14.2;16;4;66;9;27;53;15407;16.4
3;10;0.0;2.1;-;14.1;17;21;54;10;34;65;15412;15.6
3;11;0.0;-2.2;-;11.3;29;5;83;4;14;180;12270;16.1
3;12;0.0;0.1;-;12.6;36;1;96;5;19;172;13319;17.1
3;13;0.0;4.0;-;8.6;74;10;99;6;14;111;1984;16.5
3;14;0.0;6.8;-;13.6;56;1;99;10;27;64;9027;17.2
3;15;0.0;3.4;-;13.8;59;17;99;6;21;64;10007;15.3
3;16;0.0;1.1;-;14.1;37;0;99;10;32;72;16207;16.2
3;17;0.0;1.6;-;11.9;37;22;71;7;25;255;12665;15.6
3;18;0.0;2.8;-;10.8;43;23;91;5;16;227;11998;15.5
3;19;0.0;2.3;-;13.5;40;0;90;5;19;253;16443;16.1
3;20;0.0;2.0;-;15.3;43;5;91;3;12;161;8767;16.3
3;21;0.0;2.5;-;16.5;36;3;94;5;19;165;14632;16.2
3;22;0.0;6.3;-;14.1;36;0;95;9;24;135;11065;14.2
3;23;12.8;6.2;-;10.5;74;0;99;7;32;158;3458;16.2
3;24;49.0;6.5;-;11.1;89;0;99;11;42;169;1711;14.1
3;25;8.0;5.5;-;11.2;85;0;99;11;36;169;9159;16.2
3;26;19.6;3.9;-;7.0;83;20;99;14;51;46;1606;0.0
3;27;1.0;3.7;-;11.7;59;3;99;8;20;168;13437;15.6
3;28;1.8;2.2;-;8.8;38;0;99;8;30;121;5306;0.0
3;29;0.0;-1.1;-;10.9;53;22;98;6;19;157;13161;16.4
3;30;15.0;4.2;-;8.1;60;14;99;8;21;58;2998;0.0
3;31;16.0;6.0;-;10.4;91;0;99;10;30;156;3360;17.5
4;1;18.2;5.5;-;11.7;59;2;99;15;47;152;7830;14.2
4;2;14.8;3.5;-;11.7;78;0;99;8;25;179;9181;15.3
4;3;8.6;4.6;-;12.8;81;-;99;5;13;173;6200;-
4;4;9.6;9.8;-;12.2;98;0;99;8;20;173;2277;15.5
4;5;15.2;8.8;-;12.2;93;0;99;7;24;145;2241;16.1
4;6;4.6;8.1;-;12.7;69;0;99;15;46;60;6703;14.2
4;7;0.0;6.6;-;15.8;45;22;85;11;29;61;17345;16.3
4;8;0.0;9.4;-;15.9;40;17;75;10;30;78;13025;16.1
4;9;0.0;6.9;-;16.4;31;4;66;19;46;99;20713;15.4
4;10;0.0;5.9;-;19.1;17;5;60;11;31;137;20179;16.3
4;11;0.0;4.6;-;17.7;21;20;74;8;20;138;17392;15.6
4;12;0.0;4.7;-;19.0;24;4;72;6;21;240;21573;16.0
4;13;3.6;5.4;-;17.6;36;22;94;8;37;347;13442;16.5
4;14;0.0;5.5;-;17.1;36;22;99;7;23;93;24303;16.4
4;15;18.2;7.6;-;13.6;68;17;99;9;37;153;5260;0.0
4;16;11.0;6.6;-;15.1;59;0;99;13;36;124;14428;14.0
4;17;0.0;3.8;-;12.3;48;0;94;10;28;132;10724;15.2
4;18;0.0;1.6;-;16.8;15;5;73;11;45;31;25564;15.4
4;19;0.0;3.2;-;20.4;34;23;82;6;20;315;24473;16.3
4;20;1.4;8.5;-;19.4;43;21;88;7;24;126;17859;14.3
4;21;0.0;6.6;-;16.9;28;0;77;9;25;217;23211;15.2
4;22;0.0;6.0;-;16.3;38;22;92;6;19;161;16372;15.5
4;23;0.6;10.9;-;12.5;78;18;99;4;10;73;3172;0.0
4;24;0.0;8.6;-;18.2;56;23;99;5;19;158;16074;16.2
4;25;0.0;8.3;-;21.7;50;0;99;5;18;218;19257;16.0
4;26;0.0;11.7;-;22.2;49;0;93;5;19;174;21561;15.3
4;27;0.0;9.9;-;22.4;51;5;99;5;16;179;15836;16.3
4;28;0.0;11.5;-;24.5;41;3;91;7;24;179;16392;15.6
4;29;32.4;8.8;-;19.7;57;15;99;14;36;174;6317;0.0
4;30;13.2;8.6;-;13.4;71;4;94;12;28;63;5677;0.0
5;1;1.8;11.1;-;18.5;63;23;93;7;22;57;10355;16.2
5;2;0.0;12.3;-;20.3;51;4;99;6;20;7;12471;17.2
5;3;0.0;13.4;-;25.8;38;0;78;11;28;63;21809;17.2
5;4;0.0;14.3;-;24.9;24;5;83;15;40;95;24096;15.1
5;5;0.0;14.0;-;24.0;31;1;58;18;47;63;25503;15.3
5;6;0.0;13.1;-;25.9;26;23;64;12;36;100;25179;16.5
5;7;0.0;11.9;-;24.9;26;0;68;6;19;189;25898;16.2
5;8;0.0;11.8;-;25.2;35;5;76;6;24;196;23657;16.3
5;9;7.4;11.6;-;24.5;29;21;96;6;23;0;18346;16.6
5;10;0.0;13.4;-;21.7;54;0;92;8;28;175;19457;15.3
5;11;4.6;13.6;-;21.4;60;21;91;12;33;159;15643;15.1
5;12;0.0;12.2;-;22.7;30;23;81;11;32;68;27209;16.0
5;13;0.0;10.1;-;27.2;24;3;90;5;17;65;27792;17.1
5;14;0.0;12.8;-;28.6;29;2;87;8;26;128;27272;16.2
5;15;0.0;16.1;-;27.7;28;4;75;9;26;120;25580;16.1
5;16;0.0;14.3;-;28.3;32;22;79;5;18;286;26219;16.1
5;17;0.0;14.9;-;29.3;29;4;84;7;24;155;25713;15.3
5;18;0.4;12.8;-;25.2;33;23;74;10;33;183;20758;13.5
5;19;0.2;12.2;-;21.1;31;4;82;10;36;101;21728;13.6
5;20;0.0;10.4;-;19.5;35;23;70;17;48;93;24937;15.3
5;21;0.0;8.2;-;20.8;33;3;84;5;20;187;21153;16.1
5;22;13.4;10.0;-;23.4;38;23;94;7;49;140;14835;12.4
5;23;10.4;13.0;-;19.5;58;1;98;4;26;32;12116;16.3
5;24;0.0;12.5;-;24.7;41;1;99;8;35;96;24288;15.1
5;25;0.0;14.2;-;25.8;34;1;82;10;30;83;27418;16.0
5;26;0.0;13.3;-;25.2;33;4;77;6;21;138;23277;15.0
5;27;0.0;14.8;-;24.7;31;2;77;7;24;63;21316;15.5
5;28;0.0;12.9;-;25.3;40;0;89;8;30;87;21020;14.5
5;29;20.4;13.6;-;19.5;65;23;99;5;21;63;7641;0.0
5;30;0.6;15.5;-;23.8;56;0;99;8;23;48;22590;14.5
5;31;20.8;16.1;-;20.5;74;19;99;5;17;152;8289;16.6
