mese;giorno*;Pioggia mm;Temp. min gradi C;Temp. med gradi C;Temp. max gradi C;Umidita' min %;Umidita' med %;Umidita' max %;Vento med km/h;Vento max km/h;Dir. V. max gradi N;Radiaz. KJ/m2;Press. med hPa
1;1;0.0;-1.8;3.0;12.2;67;95;100;4;14;94;6336;1014.5
1;2;0.0;-2.6;2.2;6.0;99;100;100;4;13;306;2187;1013.8
1;3;0.9;5.7;6.6;7.3;92;99;100;4;13;129;656;1008.9
1;4;2.7;5.7;6.4;7.3;100;100;100;3;15;67;498;1000.9
1;5;46.0;1.2;7.8;12.6;86;96;100;10;54;356;664;992.3
1;6;0.0;-0.6;4.5;9.8;49;79;100;6;18;85;6351;1003.2
1;7;0.0;-2.3;3.2;7.2;28;51;89;12;30;78;7446;1008.9
1;8;0.0;-3.5;1.3;8.7;27;67;88;5;12;31;6997;1003.0
1;9;0.0;-2.1;1.8;5.3;61;80;90;4;12;60;1939;994.6
1;10;0.0;-1.5;3.3;11.5;33;76;93;5;19;35;5439;1000.6
1;11;0.0;-3.7;3.2;12.5;28;63;95;5;24;112;7716;1012.2
1;12;0.0;-4.6;1.7;10.0;25;57;81;4;14;99;7675;1020.2
1;13;0.0;-5.9;0.9;9.9;31;68;92;4;14;104;7754;1025.4
1;14;0.0;-3.2;2.5;11.2;42;74;98;3;9;11;7499;1018.7
1;15;0.0;-2.3;5.4;14.1;43;74;99;6;32;83;7577;1013.9
1;16;0.0;-1.8;4.3;11.9;48;83;100;3;14;166;7730;1012.8
1;17;0.0;-1.2;3.9;11.7;60;88;100;4;15;196;5916;1014.2
1;18;0.0;-1.7;4.3;13.0;37;72;98;5;21;55;7909;1021.4
1;19;0.0;-2.1;3.2;10.2;59;84;100;4;21;181;6898;1018.6
1;20;0.0;-1.5;3.7;8.8;71;91;100;4;13;169;5970;1009.3
1;21;0.0;-2.6;3.1;10.0;24;67;100;6;23;65;8521;1012.7
1;22;0.0;-3.0;1.6;8.1;53;80;100;5;19;122;7891;1014.8
1;23;0.0;-3.7;2.5;10.3;56;82;100;4;12;351;8358;1018.8
1;24;0.0;-1.6;3.9;9.6;55;76;94;6;23;140;7645;1021.5
1;25;0.0;-2.0;3.7;8.7;58;79;100;4;14;188;6862;1021.3
1;26;0.0;-4.1;1.7;9.5;55;86;100;3;12;68;8578;1016.9
1;27;0.0;-2.7;2.0;4.8;77;89;100;4;11;350;3845;1015.1
1;28;0.0;-0.7;5.1;10.6;28;68;98;6;26;346;8620;1014.8
1;29;0.0;-2.6;3.3;10.9;37;65;91;5;18;227;8414;1017.4
1;30;0.0;-3.3;3.2;11.0;51;78;96;5;14;146;9047;1008.3
1;31;0.0;-2.5;2.7;8.6;69;85;100;5;18;45;2093;998.6
2;1;0.0;-3.5;3.8;13.9;21;73;96;6;32;341;9777;1000.6
2;2;0.0;-0.1;6.0;13.3;29;75;100;6;39;2;9000;1001.5
2;3;0.0;-1.8;5.6;13.1;47;77;99;4;13;192;5717;1011.5
2;4;0.0;2.1;6.6;11.6;64;88;100;5;18;142;6232;1007.0
2;5;0.0;0.0;6.4;13.5;61;88;100;4;16;170;8650;1009.1
2;6;0.0;0.6;5.5;8.9;78;92;100;5;16;151;2970;1008.6
2;7;1.6;1.2;7.1;12.7;21;60;100;13;51;296;10745;1004.2
2;8;0.0;-3.1;4.1;12.7;25;58;85;5;18;216;10897;1018.6
2;9;0.0;-2.4;4.5;13.3;23;61;86;4;14;186;11066;1019.4
2;10;0.0;-2.7;3.7;9.8;37;74;92;4;13;118;4189;1015.8
2;11;0.0;0.2;7.1;11.1;48;82;98;5;16;106;5300;1013.4
